,Unnamed: 0,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,P/L,13.5975,-6.5649999999999995,5.18,12.39,-11.852500000000001,18.235,172.04250000000002,-344.7925,-70.235,7.62
1,P/VPA,0.2525,0.5525,0.5125,0.535,0.45499999999999996,0.395,0.4325,0.4875,0.435,0.225
2,P/FCO,6.7125,18.5425,-17.575,22.345,9.329999999999998,61.58500000000001,-5.0024999999999995,318.9325,10.2925,14.845
3,DY,0.0138,0.035225,0.025675,0.039999999999999994,0.105175,0.031675,0.0083,0.0026750000000000003,0.0,0.0
4,PSRO ín,4.425,-21.765,7.4625,10.43,-10.55,-97.6425,18.57,-65.5975,17.6475,2.8625
5,EV/EBIT,16.695,-6.45,4.3175,14.42,-15.5875,57.3325,33.519999999999996,-46.92,-77.5975,12.2675
6,ROE,0.004675,-0.052975,0.06335,0.023025,-0.038925,0.026025,0.0036,-0.00115,-0.0119,0.007475000000000001
7,ROIC,0.00435,-0.03925,0.0593,0.013075,-0.005525,-0.005200000000000001,0.00885,-0.009825,-0.000225,0.0023250000000000002
8,LC,0.49,0.995,0.9225,0.6375,1.2725,1.1675,0.7050000000000001,1.205,1.1800000000000002,0.6675
9,DB/PL,0.1425,0.1875,0.1325,0.08499999999999999,0.07,0.0725,0.0875,0.0825,0.07500000000000001,0.0425
10,LPA,0.09,-0.8624999999999999,0.9475,0.275,-0.6325000000000001,0.43000000000000005,0.045,-0.0175,-0.1325,0.0775
11,VPA,4.85,8.03,7.105,5.8925,6.2625,6.3825,5.1625,5.0649999999999995,5.0725,2.615
12,DPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
