,Unnamed: 0,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,P/L,11.4625,40.792500000000004,21.7525,18.0475,14.942499999999999,13.907499999999999,15.64,19.009999999999998,20.1825,15.6925
1,P/VPA,0.9975,4.1025,2.7925,3.245,2.3049999999999997,1.94,2.385,3.2649999999999997,4.3475,2.9425
2,P/FCO,5.6025,43.0825,19.0825,25.485,14.5725,11.075,18.77,20.0875,25.6075,13.355
3,DY,0.0,0.0034249999999999997,0.035375,0.024825,0.039924999999999995,0.0848,0.028075,0.021924999999999997,0.0149,0.023475000000000003
4,PSRO ín,0.825,2.7224999999999997,1.7574999999999998,2.02,1.2025000000000001,1.025,1.3425,1.83,2.175,2.0475
5,EV/EBIT,9.685,27.2075,17.8375,16.197499999999998,10.9025,11.3625,13.647499999999999,17.3175,18.935,14.162500000000001
6,ROE,0.0216,0.10220000000000001,0.128075,0.18252500000000002,0.15607500000000002,0.14055,0.150775,0.1713,0.21922499999999998,0.20079999999999998
7,ROIC,0.015,0.09799999999999999,0.1258,0.167325,0.15747499999999998,0.127225,0.125075,0.1284,0.17545,0.159075
8,LC,0.4475,2.1175,2.135,1.995,2.07,1.7999999999999998,2.21,2.2375,2.4125,1.7625
9,DB/PL,0.0975,0.17500000000000002,0.265,0.275,0.2925,0.28500000000000003,0.235,0.25,0.16749999999999998,0.1475
10,LPA,0.1325,0.5625,0.6299999999999999,0.87,0.67,0.6025,0.6224999999999999,0.645,0.7425,0.775
11,VPA,1.5225,5.507499999999999,4.9025,4.7675,4.295,4.2775,4.132499999999999,3.755,3.4025,2.3
12,DPA,0.015,0.0925,0.34500000000000003,0.35749999999999993,0.2325,0.2925,0.2675,0.23500000000000001,0.2,0.195
