,Unnamed: 0,2020,2019,2018,2017,2016,2015,2014,2013
0,P/L,2.23,8.412500000000001,10.9775,14.05,16.957500000000003,13.639999999999999,13.682500000000001,12.397499999999999
1,P/VPA,0.19,0.885,0.6725,0.8800000000000001,0.885,0.9925,1.075,0.7975000000000001
2,P/FCO,-4.8025,37.247499999999995,4.2975,4.007499999999999,3.5574999999999997,3.675,5.89,4.7524999999999995
3,DY,0.005,0.013149999999999998,0.037325,0.03145,0.0602,0.09822499999999999,0.086675,0.0
4,PSRO ín,0.7375,3.7525000000000004,4.7700000000000005,5.210000000000001,4.785,5.0,5.2775,4.6725
5,EV/EBIT,1.26,5.035,6.0175,12.68,13.4525,14.4925,15.6175,13.175
6,ROE,0.021375,0.10622500000000001,0.0617,0.062675,0.053474999999999995,0.07390000000000001,0.07922499999999999,0.065975
7,ROIC,0.02535,0.1156,0.09302499999999998,0.107125,0.11739999999999999,0.12040000000000001,0.118775,0.11315
8,LC,0.6075,2.8375,2.4699999999999998,1.83,1.41,1.575,2.16,2.1625
9,DB/PL,0.275,0.955,0.805,0.8350000000000001,1.055,1.0975,0.9200000000000002,0.845
10,LPA,0.6675,3.0825,1.5025,1.335,0.94,1.19,1.27,1.025
11,VPA,7.8125,28.985,24.2375,21.432499999999997,17.525,16.122500000000002,16.12,15.592500000000001
12,DPA,0.2025,0.7575,0.185,0.6,0.45000000000000007,0.85,0.8275,0.5075000000000001
