,Unnamed: 0,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,P/L,-2.33,72.08,6.2375,-22.74,-25.017500000000002,-28.455,60.739999999999995,28.752499999999998,34.4325,17.2225
1,P/VPA,0.315,1.9725000000000001,1.0975000000000001,1.395,1.34,1.6375,2.7825,4.375,5.630000000000001,5.15
2,P/FCO,3.9925,65.92999999999999,-20.610000000000003,-30.16,3.445,4.484999999999999,15.754999999999999,27.175,57.614999999999995,31.5625
3,DY,0.0,0.0,0.0,0.0,0.0023250000000000002,0.009174999999999999,0.0072,0.012,0.019175,0.026125
4,PSRO ín,0.22,1.0125000000000002,0.5475,0.625,0.7075,0.8200000000000001,1.2325,1.79,2.275,1.6575
5,EV/EBIT,-69.325,16.855,21.270000000000003,25.955,69.66,23.322499999999998,20.725,17.555,21.0525,12.849999999999998
6,ROE,-0.033725,0.002450000000000001,-0.10105,-0.06205,-0.059275,-0.00315,0.052575,0.16862499999999997,0.16645,0.31162500000000004
7,ROIC,-0.0033250000000000003,-0.0597,-0.043075,0.042499999999999996,0.0443,0.054925,0.08167500000000001,0.137,0.133875,0.18412499999999998
8,LC,0.44,1.3375,1.525,1.515,2.2075,2.32,2.6449999999999996,3.0725,2.9825,1.855
9,DB/PL,0.2375,1.6675,1.0725,0.8925000000000001,0.9149999999999999,1.0750000000000002,0.97,0.7275,0.8300000000000001,0.9974999999999999
10,LPA,-0.22,-0.04000000000000001,-0.42499999999999993,-0.29750000000000004,-0.3,-0.015,0.29000000000000004,0.8925,0.7874999999999999,1.3325
11,VPA,1.6225,5.022500000000001,4.4025,4.8375,5.1450000000000005,5.5925,5.55,5.324999999999999,4.67,4.2700000000000005
12,DPA,0.0,0.0,0.0,0.0,0.0,0.06,0.09000000000000001,0.24249999999999997,0.07999999999999999,0.4925
