,Unnamed: 0,2020,2019,2018,2017,2016,2015,2014,2013
0,P/L,-7.7925,1142.7625,176.445,52.2775,26.427500000000002,11.4175,24.7375,11.5225
1,P/VPA,0.31,2.7725,1.9649999999999999,2.7475,1.57,1.935,4.2475000000000005,0.92
2,P/FCO,2.9175,15.4725,7.535,12.367500000000001,64.29249999999999,87.055,30.005,6.655
3,DY,0.0,0.0034000000000000002,0.013175,0.005725,0.010575000000000001,0.036375,0.00265,0.0
4,PSRO ín,0.64,2.4299999999999997,1.545,2.1275,1.4425,1.6925,4.325,1.2175
5,EV/EBIT,8.055,34.925000000000004,29.532500000000002,31.06,17.634999999999998,14.015,27.994999999999997,9.3975
6,ROE,-0.01,-0.008,0.057800000000000004,0.0625,0.075025,0.188875,0.19055,0.6552250000000001
7,ROIC,0.005975,0.0489,0.0694,0.085775,0.073025,0.141025,0.127625,0.252675
8,LC,0.9525,1.2725,1.9925,1.8250000000000002,1.835,1.9725000000000001,3.685,2.605
9,DB/PL,0.185,1.46,0.525,0.4575,0.585,0.37750000000000006,0.2475,1.9999999999999998
10,LPA,-0.2,-0.065,0.5049999999999999,0.5275000000000001,0.6075,1.4849999999999999,1.3225,0.5725
11,VPA,5.0225,8.3375,8.47,8.4075,8.0525,7.8575,6.802499999999999,2.005
12,DPA,0.0,0.01,0.1825,0.105,0.015,0.0,0.0,0.0
