,Unnamed: 0,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,P/L,6.1075,31.085,27.185000000000002,27.337500000000002,19.54,17.1725,22.87,29.467499999999998,29.98,22.565
1,P/VPA,1.3375,6.6,5.9275,5.68,3.4775,3.335,4.6625,6.5649999999999995,7.217500000000001,3.87
2,P/FCO,6.015,28.8475,31.284999999999997,23.069999999999997,23.7725,21.5075,31.55,59.8825,53.872499999999995,50.6375
3,DY,0.005175,0.0178,0.033100000000000004,0.035925,0.029199999999999997,0.03,0.026825,0.01285,0.011550000000000001,0.008775000000000002
4,PSRO ín,0.6475,2.85,2.8475,2.8425000000000002,1.9375,1.825,2.5700000000000003,3.4475,3.5,2.7950000000000004
5,EV/EBIT,4.375,22.152499999999996,21.84,20.9175,14.9225,13.2725,16.5925,21.1325,22.2875,15.864999999999998
6,ROE,0.05455,0.213225,0.219475,0.20505,0.17795,0.193925,0.20377499999999998,0.22269999999999998,0.243625,0.20025
7,ROIC,0.032549999999999996,0.193025,0.19310000000000002,0.160475,0.1365,0.1348,0.15650000000000003,0.17512499999999998,0.193725,0.173775
8,LC,0.565,2.085,2.6174999999999997,2.85,3.225,3.0999999999999996,3.4675000000000002,3.59,3.9525000000000006,3.375
9,DB/PL,0.205,0.26,0.2275,0.18000000000000002,0.16,0.1875,0.165,0.20750000000000002,0.135,0.07
10,LPA,0.465,1.6675,1.72,1.5350000000000001,1.2974999999999999,1.3050000000000002,1.2599999999999998,1.22,1.1524999999999999,1.0125
11,VPA,2.125,7.8225,7.842499999999999,7.5075,7.2875,6.7225,6.1899999999999995,5.4875,4.76,3.1075
12,DPA,0.2275,0.7825,0.7649999999999999,1.215,0.8925000000000001,0.7575,0.6699999999999999,0.6075,0.35500000000000004,0.395
