,Unnamed: 0,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,P/L,7.6075,29.945,25.08,27.8125,82.7275,14.0525,20.279999999999998,20.545,20.400000000000002,12.7675
1,P/VPA,0.96,2.925,1.8425,1.7025000000000001,1.615,1.06,1.0550000000000002,1.1525,1.1175000000000002,0.9625
2,P/FCO,6.4625,25.035,6.8675,-21.299999999999997,3.8775000000000004,20.08,10.065,13.625,16.5925,8.450000000000001
3,DY,0.0065249999999999996,0.01595,0.028375,0.021725,0.038125,0.048424999999999996,0.044,0.0421,0.039725,0.058600000000000006
4,PSRO ín,3.415,13.645,10.957500000000001,15.612499999999999,14.5225,10.442499999999999,10.600000000000001,11.4225,10.747499999999999,7.092499999999999
5,EV/EBIT,5.8725,24.745,20.762500000000003,33.935,0.037499999999999645,9.065,13.235,13.397499999999999,13.7425,10.067499999999999
6,ROE,0.031475,0.098275,0.07372500000000001,0.062375,0.075375,0.092775,0.052275,0.0562,0.05475000000000001,0.080275
7,ROIC,0.026175,0.07925,0.06315,0.041275,0.05205,0.068575,0.0385,0.044075,0.039474999999999996,0.056525
8,LC,0.2975,1.3924999999999998,1.5799999999999998,1.27,2.8375,2.3425000000000002,1.5374999999999999,1.9774999999999998,1.9,1.36
9,DB/PL,0.0525,0.20500000000000002,0.22499999999999998,0.2475,0.15749999999999997,0.115,0.07750000000000001,0.07,0.065,0.055
10,LPA,0.4325,1.3725,1.0074999999999998,0.8325,0.78,0.98,0.5425,0.6025,0.585,0.8500000000000001
11,VPA,3.43,13.967500000000001,13.684999999999999,13.370000000000001,10.32,10.595,10.3975,10.71,10.6725,10.5975
12,DPA,0.36,1.1575,0.7575000000000001,0.475,0.615,0.505,0.45249999999999996,0.5675,0.42499999999999993,0.5
