,Unnamed: 0,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,P/L,-15.6975,-102.155,-299.0825,-83.19500000000001,51.0175,-3.9075,-2.495,10.1725,-16.245,-3.4875
1,P/VPA,1.305,8.0275,12.0625,8.2775,1.7550000000000001,0.6875,1.1475,0.7875,0.7925,0.905
2,P/FCO,207.1775,-178.03500000000003,-478.62,-139.05,-22.722499999999997,-5.6049999999999995,-16.0675,7.0375,-6.055,3.07
3,DY,0.0,0.0,0.002175,0.008175,0.0,0.14037499999999997,0.1679,0.21622500000000003,0.109925,0.211725
4,PSRO ín,5.1275,9.8625,16.05,12.93,0.0,0.0,0.0,0.0,0.0,0.0
5,EV/EBIT,-20.145,-91.365,-472.61,-336.7875,-7.9275,4.0325,-0.11499999999999998,1.7349999999999999,2.3975,0.29
6,ROE,-0.020775000000000002,-0.0816,-0.05157500000000001,-0.026075,0.0114,0.12895,-0.13085000000000002,0.017475,-0.051149999999999994,0.55755
7,ROIC,-0.01295,-0.086475,-0.045375,-0.062175,-0.1071,0.021425,-0.183375,-0.206475,-0.092125,0.33515
8,LC,0.1725,0.86,1.2249999999999999,4.06,16.220000000000002,14.55,8.4225,13.215,36.622499999999995,23.159999999999997
9,DB/PL,0.0575,0.0425,0.0,0.01,0.025,0.0375,0.0125,0.0,0.0,0.0
10,LPA,-0.365,-0.75,-0.4925,-0.2675,0.0675,0.7000000000000001,-0.6524999999999999,0.1375,-0.455,5.73
11,VPA,4.3875,6.95,9.68,7.875,5.325,5.340000000000001,5.2175,7.147500000000001,8.837499999999999,10.075
12,DPA,0.0,0.0,-0.0225,-0.012500000000000002,0.015,0.0,0.0,0.0,0.0,1.37
