,Unnamed: 0,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,P/L,-10.5975,-7.76,-1.38,-3.1025,-8.344999999999999,5.654999999999999,15.865,15.252500000000001,11.875
1,P/VPA,3.9525,2.9699999999999998,0.625,0.8799999999999999,0.7375,0.9975,1.5899999999999999,1.77,1.9475
2,P/FCO,-22.435000000000002,-12.4125,-6.404999999999999,-10.1475,6.869999999999999,11.8025,12.787500000000001,12.4875,12.695
3,DY,0.0,0.0,0.0,0.0,0.168375,0.15084999999999998,0.04935,0.041025000000000006,0.025325
4,PSRO ín,6.5874999999999995,7.115,1.865,2.75,1.7025000000000001,2.16,3.2525,3.4875,2.5925000000000002
5,EV/EBIT,-13.254999999999999,-7.4350000000000005,-1.3275,-2.48,-10.479999999999999,6.125,19.545,13.1,6.834999999999999
6,ROE,-0.278475,-0.404125,-0.337525,-0.297325,-0.115475,0.04475,0.1002,0.116825,0.1724
7,ROIC,-0.17980000000000002,-0.416,-0.315025,-0.33999999999999997,-0.13272499999999998,0.0013999999999999985,0.0279,0.08012499999999999,0.15417499999999998
8,LC,1.2449999999999999,1.4024999999999999,1.31,2.1475,3.2525000000000004,3.165,2.9925,2.4425,4.892499999999999
9,DB/PL,0.28500000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,LPA,-0.295,-0.5175000000000001,-0.515,-0.5725,-0.295,0.1825,0.4,0.46749999999999997,0.6174999999999999
11,VPA,0.795,1.2725,1.15,1.9875000000000003,2.665,3.5775,3.99,3.9925,3.5925000000000002
12,DPA,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.025,0.09
