,Unnamed: 0,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,P/L,-35.2075,-4.1525,-5.995,-6.485,-17.755,-37.995,-25.44,-21.597499999999997,-12.2075,-13.535
1,P/VPA,0.9675,2.8725,2.6725,4.119999999999999,2.5875,1.8775,2.3325,-6.9975000000000005,-6.7575,-11.23
2,P/FCO,-2.6075,-4.5875,-4.6775,-5.125,-8.8775,-26.545,-12.785,-34.575,-46.595,-21.69
3,DY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,PSRO ín,23.45,73.8675,1595.8825,3214.6425,0.0,0.0,0.0,0.0,0.0,56.769999999999996
5,EV/EBIT,101.83,-6.375,-8.547500000000001,-10.1725,-23.03,-18.8875,-24.290000000000003,-28.075,-15.76,-14.855
6,ROE,-0.007125,-0.501875,-0.45415,-0.6544000000000001,-0.32295,-0.024199999999999996,-0.09605,0.39072499999999993,0.5676,0.910625
7,ROIC,0.001,-0.143675,-0.1375,-0.167225,-0.08165,-0.1285,-0.0636,-0.6035499999999998,2.6832,1.8509000000000002
8,LC,0.5525,1.5775000000000001,2.645,1.87,4.205,12.6175,28.5275,2.4575,0.22499999999999998,0.215
9,DB/PL,0.34,1.4900000000000002,1.7249999999999999,2.1999999999999997,1.1875,0.5025,0.4275,-0.6025,-0.74,-0.355
10,LPA,-0.03,-1.245,-1.275,-1.3450000000000002,-0.7725,-0.07750000000000001,-0.34249999999999997,-0.45,-0.29000000000000004,-0.2
11,VPA,1.0925,1.9175,3.2175,2.09,2.725,3.5625,3.5475,0.2124999999999999,-0.5,-0.225
12,DPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
