,Unnamed: 0,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,P/L,8.3575,33.01,30.2425,15.9875,8.7225,9.715,15.0425,18.112499999999997,8.870000000000001,2.5149999999999997
1,P/VPA,0.12,0.5825,0.7150000000000001,0.8175,0.675,0.625,0.7375,0.8275,0.7875,0.5349999999999999
2,P/FCO,6.775,-44.050000000000004,352.32,7.3975,6.995000000000001,3.3075000000000006,14.035,70.0675,11.8425,12.075000000000001
3,DY,0.011025,0.022475000000000002,0.07200000000000001,0.096225,0.089325,0.11615,0.08737500000000001,0.11604999999999999,0.35715,0.8546750000000001
4,PSRO ín,1.435,8.0125,8.715,8.7875,6.335,4.2425,4.074999999999999,4.5975,3.9625,5.87
5,EV/EBIT,2.9625,6.2524999999999995,8.12,3.13,8.1725,-42.602500000000006,75.82499999999999,-28.6275,-10.2025,-1.7625
6,ROE,0.0036,0.0177,0.024925,0.055325000000000006,0.079925,0.06405000000000001,0.050575,0.045825,0.103025,0.46652499999999997
7,ROIC,-0.008375,-0.032725000000000004,-0.032525,-0.053925,-0.064625,-0.041775,-0.033725,-0.0209,-0.024175,0.34837500000000005
8,LC,7.145,27.82,41.332499999999996,32.485,21.8425,26.48,25.005000000000003,23.622500000000002,19.1575,11.4925
9,DB/PL,0.01,0.04750000000000001,0.0075,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,LPA,1.3975,7.3425,10.035,22.5125,32.6975,25.3575,20.6025,18.965000000000003,45.599999999999994,309.125
11,VPA,97.395,415.07,402.72,404.5375,408.4925,395.745,407.9425,413.9975,440.2525,343.0525
12,DPA,0.0,0.0,0.0,0.0,0.0,0.0,1.06,8.4175,15.242499999999998,73.39999999999999
