,Unnamed: 0,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,P/L,407.625,-0.4999999999999991,10.245,9.76,0.5950000000000002,-3.0475,19.2125,-22.0925,11.34,5.35
1,P/VPA,0.27,1.065,1.0850000000000002,0.9375,0.37,0.2925,0.5975,0.7575000000000001,1.2075,1.685
2,P/FCO,50.7325,40.3725,-52.35999999999999,-5.324999999999996,26.3275,5.282500000000001,11.2425,14.555,111.27499999999999,9.0725
3,DY,0.012025,0.0353,0.062424999999999994,0.028249999999999997,0.068025,0.1789,0.095825,0.064675,0.05249999999999999,0.033600000000000005
4,PSRO ín,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.7525,1.745
5,EV/EBIT,-769.435,-0.3625000000000007,8.407499999999999,7.4625,-0.4850000000000001,-3.965,404.635,114.0125,11.225000000000001,4.2925
6,ROE,0.000125,0.1112,0.124925,0.12985000000000002,-0.13285,-0.145625,-0.010025000000000001,0.029625,0.1347,0.323075
7,ROIC,-7.5e-05,0.11000000000000001,0.1151,0.12062499999999998,-0.09949999999999999,-0.11752499999999999,-0.0008999999999999998,0.03255,0.128775,0.3225
8,LC,0.5,4.0375000000000005,0.7474999999999999,1.7425,10.115,9.372499999999999,16.587500000000002,17.4925,1.1575,1.3075
9,DB/PL,0.005,0.02,0.115,0.1925,0.1875,0.14,0.1225,0.10500000000000001,0.095,0.0975
10,LPA,0.005,3.1374999999999997,3.21,3.225,-3.0124999999999997,-3.6,-0.2725,0.8224999999999999,3.6349999999999993,7.5675
11,VPA,7.525,27.877499999999998,25.9725,24.517500000000002,22.669999999999998,26.127500000000005,26.0225,27.1575,27.064999999999998,23.479999999999997
12,DPA,0.1925,1.085,1.9175,0.9600000000000001,0.5850000000000001,1.395,1.49,1.1175000000000002,1.575,1.6949999999999998
