,Unnamed: 0,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,P/L,3.75,12.35,5.5375,5.6475,3.5874999999999995,3.3925,5.7075000000000005,4.535,4.3375,6.2125
1,P/VPA,0.105,0.355,0.19,0.18500000000000003,0.15000000000000002,0.125,0.19,0.2025,0.27,0.28500000000000003
2,P/FCO,-1.3325,8.48,3.4125,2.1325,1.8599999999999999,0.72,0.47,4.365,-2.3649999999999998,0.24250000000000005
3,DY,0.0,0.0002,0.00035,0.0009,0.001325,0.012174999999999998,0.0017499999999999998,0.00785,0.004475,0.006350000000000001
4,PSRO ín,6.4175,22.564999999999998,11.915000000000001,11.12,7.5525,6.654999999999999,9.955,9.1225,12.3625,25.635
5,EV/EBIT,-91.78,-77.39250000000001,-139.29500000000002,564.905,-94.625,-56.97,-58.275000000000006,47.61749999999999,11.085,5.234999999999999
6,ROE,0.006999999999999999,0.028975,0.0342,0.032625,0.042550000000000004,0.037825000000000004,0.0339,0.045375,0.062275000000000004,0.051175
7,ROIC,-0.001575,-0.00455,-0.011949999999999999,-0.020425,-0.00735,-0.00215,-0.0003249999999999998,-0.02345,-0.14945,-0.10125
8,LC,0.1925,1.7225000000000001,1.4575,1.445,1.4975,1.475,1.3800000000000001,1.285,1.085,0.825
9,DB/PL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,LPA,0.17,0.6825000000000001,0.77,0.7024999999999999,0.875,0.7375,0.6025,0.81,0.9025,0.8674999999999999
11,VPA,6.0975,23.515,22.49,21.459999999999997,20.595,19.415,17.8375,17.8675,14.524999999999999,10.192499999999999
12,DPA,0.015,0.06,0.06,0.06,0.05,0.057499999999999996,0.0475,0.0675,0.06,0.08
