,Unnamed: 0,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,P/L,1.3,6.7875,-8.555,3.7925000000000013,45.8625,304.475,17.475,10.395,17.605,18.8625
1,P/VPA,0.135,0.785,0.6325000000000001,0.715,0.7749999999999999,0.8150000000000001,1.15,1.3625,1.9625000000000001,1.6625
2,P/FCO,1.8425,10.8675,9.517499999999998,9.579999999999998,9.18,8.3175,14.627500000000001,16.525,23.4825,19.055
3,DY,0.02105,0.0187,0.00325,0.0039,0.007525,0.04235,0.0216,0.020075,0.006125,0.010349999999999998
4,PSRO ín,1.85,9.265,7.5175,8.3475,9.3225,9.4025,12.077499999999999,13.7175,18.4975,15.1525
5,EV/EBIT,1.06,5.315,-10.370000000000001,0.27999999999999936,20.37,7.5475,8.592500000000001,6.055,8.317499999999999,9.942499999999999
6,ROE,0.025849999999999998,0.116125,-0.014200000000000004,-0.028275,0.021525,0.019575,0.06705000000000001,0.1419,0.1266,0.0901
7,ROIC,0.0262,0.11549999999999999,0.0063000000000000035,0.0009499999999999995,0.051175,0.07665,0.0878,0.144275,0.14385,0.108875
8,LC,0.68,2.22,2.1175,1.5925,1.3225,1.0675000000000001,1.155,0.8550000000000001,1.0175,1.8574999999999997
9,DB/PL,0.065,0.25,0.2725,0.36250000000000004,0.495,0.545,0.5075000000000001,0.495,0.4975,0.4275
10,LPA,0.4975,2.165,-0.22499999999999998,-0.5075000000000001,0.36,0.32,1.0825,2.1325000000000003,1.6925000000000001,0.9750000000000001
11,VPA,4.8175,18.6425,17.38,17.965,16.7575,16.295,16.1375,15.125,13.02,10.9
12,DPA,0.2275,0.5525,0.0325,0.0,0.0,0.0,0.0,0.0,-0.045,0.045
