,Unnamed: 0,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,P/L,1.355,-11.692500000000004,40.91,22.065,14.6325,6.0075,-137.48499999999999,25.295,7.357500000000001,8.247499999999999
1,P/VPA,0.0925,0.5700000000000001,0.415,0.5475,0.505,0.56,0.6225,0.74,0.9650000000000001,1.6375
2,P/FCO,3.8425,14.372499999999999,8.2275,17.4775,7.869999999999999,7.4425,5.672499999999999,8.3125,18.9775,28.842499999999998
3,DY,0.0,0.004575,0.015399999999999999,0.0017000000000000001,0.188525,0.190675,0.3856,0.022225,0.006925,0.004925
4,PSRO ín,2.935,13.845,11.4225,12.345,8.790000000000001,7.565,11.72,12.695,21.275,24.887500000000003
5,EV/EBIT,1.055,9.555,9.584999999999999,21.83,-17.310000000000002,-10.687500000000002,14.392499999999998,9.8875,5.8475,5.7125
6,ROE,0.0171,0.005200000000000001,0.0045000000000000005,0.028575000000000003,-0.0876,-0.042225,0.021325,0.05865,0.13324999999999998,0.25329999999999997
7,ROIC,0.0197,0.038825,0.0411,0.041625,-0.010475000000000002,0.06785000000000001,0.055525000000000005,0.07344999999999999,0.10855000000000001,0.18030000000000002
8,LC,1.2875,2.7750000000000004,1.79,1.8824999999999998,1.8075,1.8975,1.5,1.5475,1.0525,3.9275
9,DB/PL,0.06,0.39249999999999996,0.525,0.5775,0.6425,0.745,0.725,0.685,0.6475000000000001,0.65
10,LPA,0.415,0.15250000000000002,0.09,0.5225000000000001,-1.4075,-0.6425000000000001,0.4375,1.6025,3.4375,2.6625000000000005
11,VPA,6.0475,20.509999999999998,19.485,18.055000000000003,16.035,18.95,21.9,26.9775,25.695,10.875
12,DPA,0.0,0.0,0.22,0.055,0.0,0.0,0.0,0.0,0.03,0.045000000000000005
