,Unnamed: 0,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,P/L,-31.6275,-37.4825,-41.93,-12.9725,-8.285,-29.342499999999998,-55.1225,-24.042499999999997,-23.1475,-97.1075
1,P/VPA,1.6125,3.895,3.165,1.555,1.4525,2.075,5.695,5.0725,3.5175,11.57
2,P/FCO,26.6275,94.17,38.875,-21.3475,-6.0425,-12.1675,7.7,-15.962500000000002,-1.8674999999999988,-15.640000000000002
3,DY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038000000000000004
4,PSRO ín,1.46,3.1525,3.0749999999999997,1.3425,0.9175,0.9800000000000001,1.6325,1.2925,1.2125,4.09
5,EV/EBIT,80.13,-142.32,-100.94,29.0725,16.9325,21.07,30.662500000000005,30.722499999999997,29.335,58.0875
6,ROE,-0.01275,-0.120675,-0.076575,-0.1263,-0.174325,-0.0868,-0.0992,-0.215925,-0.147375,-0.038974999999999996
7,ROIC,0.004699999999999999,0.016725,0.023475,0.056374999999999995,0.06705,0.07750000000000001,0.091025,0.07117499999999999,0.07035,0.056425
8,LC,0.5275,2.28,2.2525,2.2350000000000003,1.635,1.5325,1.5799999999999998,1.9124999999999999,2.055,2.2
9,DB/PL,0.3025,1.8750000000000002,1.92,1.475,1.4374999999999998,1.07,1.8725,3.9125,2.4425,3.9374999999999996
10,LPA,-0.21,-1.4375,-0.815,-1.43,-1.5,-0.72,-0.5025,-0.54,-0.4425,-0.1275
11,VPA,4.12,13.1725,10.695,11.3475,8.67,8.4625,6.6525,2.5124999999999997,3.025,2.73
12,DPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
