,Unnamed: 0,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,P/L,4.405,12.68,8.0425,11.5275,6.157500000000001,7.925,12.925,34.692499999999995,6.9275,5.46
1,P/VPA,0.53,1.3575,1.3825,2.085,0.9600000000000001,0.715,0.6675,0.8400000000000001,1.075,1.2275
2,P/FCO,1.605,4.4350000000000005,4.7675,5.5075,2.6574999999999998,2.37,2.9475,7.8475,3.695,2.7175000000000002
3,DY,0.0,0.032275,0.054925,0.034199999999999994,0.0479,0.037725,0.007425,0.040225000000000004,0.049125,0.06755
4,PSRO ín,0.3575,1.03,0.8125,1.03,0.46,0.365,0.4175,0.5725,0.5675,0.4475
5,EV/EBIT,3.0875,11.174999999999999,5.887500000000001,7.844999999999999,4.075,5.0,8.295,19.485,5.005,3.9
6,ROE,0.029900000000000003,0.10795,0.17172500000000002,0.180925,0.15525,0.092125,0.053425,0.028775000000000002,0.156225,0.245775
7,ROIC,0.028325,0.0892,0.152425,0.17055,0.17265,0.12332499999999999,0.08297500000000001,0.050574999999999995,0.145225,0.22049999999999997
8,LC,0.2425,0.97,1.2125,1.07,0.9850000000000001,0.855,0.885,1.15,1.16,1.0325
9,DB/PL,0.1025,0.5275000000000001,0.2575,0.29500000000000004,0.315,0.42999999999999994,0.52,0.5724999999999999,0.375,0.39999999999999997
10,LPA,0.19,0.645,0.9725000000000001,0.9299999999999999,0.705,0.3675,0.2,0.10750000000000001,0.605,0.905
11,VPA,1.5825,5.98,5.675000000000001,5.1225,4.5200000000000005,4.0175,3.7525000000000004,3.7224999999999997,3.88,3.6675
12,DPA,0.0775,0.3075,0.3075,0.315,0.20500000000000002,0.11000000000000001,0.0225,0.135,0.18,0.1875
