,Unnamed: 0,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,P/L,1.275,9.655,10.2375,-15.962499999999999,-32.9475,-0.0025000000000000577,0.5149999999999999,0.2125,0.475,0.5375
1,P/VPA,0.1,0.5375000000000001,0.645,1.525,1.675,0.0375,0.0425,0.052500000000000005,0.075,0.0625
2,P/FCO,0.5825,4.577500000000001,5.7425,4.8100000000000005,8.5,0.4675,0.19,0.1675,0.235,0.2525
3,DY,0.004,0.003075,0.0,0.0,5e-05,0.018825,0.0349,0.018674999999999997,0.005275,0.01315
4,PSRO ín,0.1475,0.77,0.83,1.1825,1.3875000000000002,0.345,0.38,0.35,0.30250000000000005,0.195
5,EV/EBIT,2.345,8.670000000000002,10.4475,36.495000000000005,51.230000000000004,8.1675,2.4475,1.765,1.995,1.7325
6,ROE,0.01955,0.060050000000000006,0.0374,-0.1053,-0.0683,0.04747499999999999,0.10135000000000001,0.24877500000000002,0.173925,0.1271
7,ROIC,0.0139,0.0693,0.063675,0.055224999999999996,0.037025,0.075775,0.12057500000000002,0.124525,0.160875,0.119475
8,LC,0.18,0.8474999999999999,0.8724999999999999,0.6950000000000001,1.0675,1.065,1.275,1.055,0.9475,0.5675
9,DB/PL,0.2975,1.1475,1.0575,1.4725,1.3325,0.905,0.6675,0.6,0.8250000000000001,0.6074999999999999
10,LPA,0.735,2.2125,1.315,-2.3575000000000004,-1.6199999999999999,1.24,2.635,5.94,3.3100000000000005,2.765
11,VPA,9.405,36.665000000000006,34.95,24.659999999999997,24.0475,26.08,25.645,23.95,18.762500000000003,13.0025
12,DPA,0.17,0.47750000000000004,0.1025,0.0,0.0,0.47,1.3549999999999998,1.305,0.4775,0.45
