,Unnamed: 0,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,P/L,2.3125,-10.575,-0.7049999999999998,1.7499999999999998,2.0575,5.7075000000000005,-1.7825,10.3375,5.6075,-279.34000000000003
1,P/VPA,0.24,175.56,0.395,0.35,0.365,0.565,0.7125,0.415,0.3175,0.43500000000000005
2,P/FCO,0.7725,-0.9924999999999997,12.214999999999998,1.6175,-2.295,-7.069999999999999,0.3849999999999998,6.9375,-7.6,2.6025
3,DY,0.0,0.0016250000000000001,0.0033499999999999997,0.0,0.0,0.0,0.047125,0.16775,0.0,0.006750000000000001
4,PSRO ín,0.1175,2.1125,0.19,0.21,0.28,0.2225,0.2525,0.2525,0.3725,0.3025
5,EV/EBIT,1.14,17.835,3.8975,2.3275,3.1050000000000004,3.3099999999999996,4.1525,-26.442500000000003,5.6850000000000005,4.9399999999999995
6,ROE,0.02605,-1.729875,0.065325,0.1669,0.19065,-0.093075,-0.4712,-0.04580000000000001,0.062475,0.017050000000000003
7,ROIC,0.0285,-4.810325,0.0418,0.15205000000000002,0.192525,0.0485,-0.241825,-0.07337500000000001,0.06974999999999999,0.10170000000000001
8,LC,0.2725,0.78,0.765,0.685,1.0525,0.9925,0.605,0.6525,0.7875,0.7025000000000001
9,DB/PL,0.1125,0.5325,0.44500000000000006,0.3325,0.51,0.8225,0.6875,0.47,0.54,0.62
10,LPA,1.8375,1.2449999999999999,3.6049999999999995,9.08,10.675,-1.895,-12.19,-1.645,3.415,0.8975
11,VPA,17.645,22.055,43.417500000000004,40.7175,56.1425,33.83,27.2625,41.5225,54.715,50.442499999999995
12,DPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.035,0.0
