,Unnamed: 0,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,P/L,-3.5775,1.41,1.105,-0.5825,-0.6175,-2.9275,16.7825,6.3925,10.352500000000001,13.58
1,P/VPA,0.1875,0.2975,0.42000000000000004,0.6375,0.5275,0.3175,0.33749999999999997,0.31999999999999995,0.325,0.32
2,P/FCO,1.145,-4.3125,-4.66,1.5599999999999996,2.1099999999999994,3.1875,22.04,29.665,2.9075,-8.25
3,DY,0.0,0.0,0.0,0.0,0.0,0.0,0.045075,0.06065,0.045750000000000006,0.1108
4,PSRO ín,0.1,0.2,0.37000000000000005,0.33249999999999996,0.5125000000000001,0.4575,0.3725,0.3425,0.3475,0.4625
5,EV/EBIT,3.595,3.5200000000000005,4.6274999999999995,-7.597499999999999,-4.3,-12.312500000000002,18.1925,8.5175,9.872499999999999,9.725
6,ROE,-0.013125,0.160325,0.398525,-0.854175,-0.9462999999999999,-0.20694999999999997,0.008675000000000002,0.053925,0.035375,0.037425
7,ROIC,0.00895,0.085625,0.20795000000000002,0.3538,-0.18045,-0.03905,0.040625,0.05802499999999999,0.058225000000000006,0.056525000000000006
8,LC,0.235,0.6975,0.955,0.915,0.8425,1.0625,1.135,1.1225,1.2149999999999999,0.84
9,DB/PL,0.3275,0.8875000000000001,1.435,2.0925,1.765,1.0074999999999998,0.905,0.8175,0.825,0.645
10,LPA,-0.24,3.3225000000000002,6.6975,-4.397500000000001,-11.93,-5.1,0.2925,1.765,1.1075,1.5325
11,VPA,4.5675,15.37,17.235,6.465,14.8225,27.1575,32.52,32.7225,31.29,23.432499999999997
12,DPA,0.0025,0.0,0.0,0.0,0.0,0.0,0.47,0.4625,0.535,0.7449999999999999
