,Unnamed: 0,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,P/L,-0.82,-0.6625,-0.9375,-900.725,-0.5175000000000001,-0.015000000000000001,-0.030000000000000002,-0.045,-0.1275,-0.1225
1,P/VPA,-0.0525,-0.25,-0.1925,-69.45,-0.36250000000000004,0.045,0.04,0.0325,0.02,0.015
2,P/FCO,-1.095,8.197499999999998,-2.9375,20458.2275,0.4475,0.0275,0.04,1.6625,0.11500000000000002,-0.060000000000000026
3,DY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,PSRO ín,10.5175,0.3825,6.237499999999999,28.590000000000003,0.225,0.1225,0.0875,0.135,0.14,0.13
5,EV/EBIT,4.035,-2.05,-8.705,-2250.0225,-1.335,-1.71,-0.3025,-0.4275,1.365,-2.2675
6,ROE,0.015875,0.288225,0.303925,0.31210000000000004,0.702575,-1.3069500000000005,-1.8607749999999998,-0.73985,-0.16824999999999998,-0.12037500000000001
7,ROIC,-0.00775,0.19155,0.301425,0.19427500000000003,-5.931925000000001,29.404875,-0.48085,-0.47564999999999996,-0.11965,-0.06534999999999999
8,LC,0.065,0.23249999999999998,0.545,0.44,0.5475,0.7225,0.7625,1.1375,1.49,0.5
9,DB/PL,-0.0625,-0.2025,-0.42750000000000005,-0.385,-0.89,1.5600000000000003,2.02,0.96,0.3975,0.26
10,LPA,-6.7175,-85.795,-64.0475,-37.36,-42.9475,-45.87,-31.0825,-40.0475,-20.8225,-24.5475
11,VPA,-105.755,-226.2,-191.6525,-96.9825,-69.1825,-15.2725,30.175000000000004,55.525,128.8375,119.5775
12,DPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
