,Unnamed: 0,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,P/L,2.67,8.647499999999999,9.1875,13.8725,19.380000000000003,26.48,37.5475,54.05499999999999,60.92,34.32
1,P/VPA,0.345,1.9325,2.27,3.875,6.1575,9.7975,30.372500000000002,49.23,64.435,63.7
2,P/FCO,-5.425,-23.825,8.6325,9.635,26.885,35.21,49.7675,89.76750000000001,87.6325,34.1525
3,DY,0.0,0.071375,0.09157499999999999,0.0295,0.019625,0.02435,0.044050000000000006,0.039675,0.040749999999999995,0.04795
4,PSRO ín,0.9675,3.9225,3.535,5.302499999999999,6.7325,10.5325,15.7975,22.127500000000005,26.659999999999997,15.175
5,EV/EBIT,2.915,9.375,9.515,13.75,18.415,26.1475,34.2175,45.6375,51.5775,27.84
6,ROE,0.032375,0.229825,0.2463,0.278625,0.317075,0.36754999999999993,0.803625,0.911075,1.05365,2.082625
7,ROIC,0.0108,0.0811,0.10420000000000001,0.108375,0.114525,0.10235,0.273175,0.34187500000000004,0.5238750000000001,1.56075
8,LC,0.275,1.09,1.17,1.3399999999999999,1.755,1.455,1.4325,1.3975,1.2875,1.1675
9,DB/PL,0.2725,0.875,0.545,0.6475,0.9574999999999999,1.3400000000000003,0.9224999999999999,0.8425,0.4375,0.0275
10,LPA,0.11,0.8300000000000001,1.4500000000000002,1.7775,1.6749999999999998,1.5125,1.3475,1.115,0.945,1.0924999999999998
11,VPA,0.8525,3.915,5.86,6.3925,5.2875,4.1325,1.6825,1.2375,0.905,0.54
12,DPA,-0.0275,-0.385,0.13,0.47750000000000004,0.47,0.3,0.4375,0.4125,0.3975,0.4600000000000001
