,Unnamed: 0,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,P/L,2.575,13.350000000000001,15.2025,27.605,22.765,18.912499999999998,23.3425,21.049999999999997,17.869999999999997,14.7075
1,P/VPA,0.53,2.2575,2.185,2.265,2.205,1.8175000000000001,2.2275,2.4225000000000003,2.8825,3.86
2,P/FCO,1.56,8.5475,26.62,7.31,5.6175,10.955,12.4275,9.3075,10.7775,10.024999999999999
3,DY,0.0,0.0022500000000000003,0.008425,0.010974999999999999,0.006699999999999999,0.018825,0.05074999999999999,0.053075000000000004,0.055675,0.08224999999999999
4,PSRO ín,0.4125,1.6724999999999999,1.5225000000000002,1.7375,2.145,1.8,2.215,2.355,2.7525,2.4775
5,EV/EBIT,2.4675,10.95,11.602500000000001,13.0525,14.282499999999999,12.879999999999999,14.192499999999999,13.584999999999999,12.7775,10.1775
6,ROE,0.051399999999999994,0.171275,0.14425000000000002,0.084125,0.097675,0.0962,0.09662499999999999,0.11662499999999999,0.161375,0.276875
7,ROIC,0.023275,0.099425,0.091775,0.08465,0.0665,0.06605,0.067675,0.0713,0.091625,0.143125
8,LC,0.34,1.2075,1.0350000000000001,0.9049999999999999,1.4475,1.3475000000000001,1.3125,1.4100000000000001,1.09,1.2349999999999999
9,DB/PL,0.39,1.4,1.7175,1.8875,1.9825,2.135,2.09,2.0749999999999997,1.875,1.5775000000000001
10,LPA,0.735,2.39,1.7275,0.9024999999999999,0.9925,0.93,0.8350000000000001,0.9675,1.35,2.08
11,VPA,3.5725,14.1525,11.935,10.705,10.16,9.655,8.6175,8.3025,8.3675,7.592499999999999
12,DPA,0.51,0.9375,0.345,0.17250000000000001,0.4475,0.29500000000000004,0.58,0.9400000000000001,1.35,1.4825
