,Unnamed: 0,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,P/L,1.6475,11.847499999999998,5.925,6.9350000000000005,4.64,5.1875,5.385,7.275,7.3625,8.075
1,P/VPA,0.2275,195.98749999999995,0.4225,0.185,0.35000000000000003,0.40750000000000003,0.47,0.48,0.6875,0.575
2,P/FCO,1.09,8.185,4.8275,3.1425,3.41,5.33,5.8675,4.0874999999999995,7.0625,6.6375
3,DY,0.011200000000000002,0.027625,0.063725,0.08510000000000001,0.052849999999999994,0.08607500000000001,0.0824,0.0508,0.037675,0.032575
4,PSRO ín,0.32,1.7675,0.96,0.595,0.885,0.7625,0.9400000000000001,1.01,1.1425,1.33
5,EV/EBIT,1.52,9.997499999999999,7.392499999999999,4.72,5.66,6.8475,6.6175,7.1325,6.365,7.4425
6,ROE,0.034525,16.026449999999997,0.071325,0.019625,0.079625,0.07869999999999999,0.087325,0.06735000000000001,0.09837499999999999,0.08315
7,ROIC,0.026924999999999998,13.1373,0.06605,0.193575,0.070375,0.053849999999999995,0.0551,0.04565000000000001,0.073925,0.053775
8,LC,0.3825,1.255,0.895,0.605,1.0175,1.5,1.465,1.5150000000000001,1.73,1.3975
9,DB/PL,0.155,0.6475000000000001,0.65,0.3025,0.54,0.495,0.40249999999999997,0.2825,0.1975,0.135
10,LPA,2.285,4.9675,4.2325,2.2575000000000003,4.470000000000001,4.1075,4.3475,3.1825,4.507499999999999,4.5425
11,VPA,16.5425,48.045,59.2775,28.65,55.87,52.197500000000005,49.7525,47.27,45.83,32.839999999999996
12,DPA,0.5875,1.6225,1.1400000000000001,0.7725,1.15,2.0,1.46,0.86,1.135,1.3625
