,Unnamed: 0,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,P/L,45.395,-68.97,-41.435,-4.765000000000001,-3.125,-3.4350000000000005,-4.4125,-7.715,-33.5475,16.3125
1,P/VPA,1.995,5.8549999999999995,2.8425000000000002,0.34249999999999997,0.33,0.3775,0.39,0.4875,0.5725,0.5425
2,P/FCO,-81.675,96.1325,79.71,6.285,2.965,1.0475,1.365,2.96,3.84,11.105
3,DY,0.0,0.0,0.0,0.0,0.0,0.48895,0.0,0.00215,0.028550000000000002,0.10722499999999999
4,PSRO ín,-9.54,30.155,74.6875,6.265000000000001,3.405,4.2875,4.57,1.64,1.38,1.1275
5,EV/EBIT,53.455,-70.735,-29.4175,-2.3,-2.9850000000000003,-4.1725,-11.575,138.495,6.639999999999999,10.745000000000001
6,ROE,0.010875,-0.06495000000000001,-0.061399999999999996,-0.186675,-0.143125,-0.12025,-0.089925,-0.067525,-0.0133,0.044575
7,ROIC,0.010674999999999999,-0.06845,-0.08822499999999998,-0.2283,-0.1613,-0.118325,-0.05305,0.002,0.028775000000000005,0.045950000000000005
8,LC,0.6525,4.765,8.35,8.4575,6.76,4.64,3.08,2.0975,1.9925000000000002,1.4475
9,DB/PL,0.0,0.0,0.0,0.0,0.0,0.0175,0.175,0.35250000000000004,0.485,0.43
10,LPA,0.03,-0.215,-0.22499999999999998,-0.7649999999999999,-0.685,-0.7,-0.6699999999999999,-0.5650000000000001,-0.11250000000000002,0.6275000000000001
11,VPA,0.6825,2.48,3.75,4.092499999999999,4.930000000000001,5.942500000000001,7.4625,8.3925,8.692499999999999,6.557499999999999
12,DPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.18250000000000002
