,Unnamed: 0,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,P/L,3.2825,10.2225,10.6,18.5425,12.445,-409.57500000000005,29.192500000000003,-24.4725,-3.16,2.12
1,P/VPA,0.6125,2.2125,1.4075000000000002,1.5099999999999998,1.2125,0.8099999999999999,1.08,0.9625,0.67,0.5325
2,P/FCO,2.7675,12.142499999999998,5.2325,7.9025,7.11,7.3774999999999995,11.5125,38.295,63.917500000000004,-18.03
3,DY,0.0045000000000000005,0.010100000000000001,0.0303,0.038725,0.047925,0.0339,0.020999999999999998,0.016024999999999998,0.015525,0.0194
4,PSRO ín,0.725,2.685,2.5275,3.285,2.745,2.22,2.4375,-1.4425,8.75,0.9550000000000001
5,EV/EBIT,2.595,9.1775,7.46,9.8125,6.970000000000001,12.6625,12.1975,107.265,-2.7225,1.8125
6,ROE,0.04665,0.21842499999999998,0.135375,0.08675,0.099275,0.010000000000000002,0.03995,-0.0039749999999999985,-0.10815,0.125425
7,ROIC,0.030375,0.11670000000000001,0.121,0.1047,0.138725,0.069725,0.081625,0.012375,-0.06470000000000001,0.09
8,LC,0.4925,1.7525,1.7574999999999998,1.6125000000000003,1.6824999999999999,1.4225,1.5699999999999998,0.885,0.885,0.9775
9,DB/PL,0.2975,1.1549999999999998,0.96,0.8425,0.755,0.7150000000000001,0.5675,0.49250000000000005,0.27749999999999997,0.255
10,LPA,1.31,5.695,3.4275,2.3025,2.8949999999999996,0.3125,1.335,-0.12250000000000003,-2.71,2.8625
11,VPA,7.015,25.9425,25.259999999999998,26.7325,29.0925,30.375,33.07,24.445,12.695,11.41
12,DPA,0.365,1.325,1.595,1.67,1.1775,0.375,0.7450000000000001,-0.15000000000000002,-0.02,0.02
