,Unnamed: 0,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,P/L,2.6275,11.809999999999999,11.045,10.6425,21.995,-29.47,10.7325,11.172500000000001,-768.185,13.525000000000002
1,P/VPA,0.28,1.17,1.0125,0.905,0.64,0.33999999999999997,0.77,0.9724999999999999,1.1524999999999999,0.6425000000000001
2,P/FCO,1.5425,6.7975,6.692499999999999,5.565,5.234999999999999,2.705,6.5525,5.954999999999999,209.1,6.345
3,DY,0.0032500000000000003,0.020450000000000003,0.090975,0.035625000000000004,0.011099999999999999,0.017025,0.0348,0.0338,0.028624999999999998,0.057825
4,PSRO ín,0.5075,2.1425,1.96,1.9775,1.6725,1.225,1.7725,2.055,90.27749999999999,3.2574999999999994
5,EV/EBIT,2.1925,10.3825,9.879999999999999,8.9725,12.235,12.23,10.3325,10.395,-463.49,12.885000000000002
6,ROE,0.026549999999999997,0.10077499999999999,0.09179999999999999,0.084975,0.039075,0.0178,0.0713,0.086925,0.02305,0.04145
7,ROIC,0.02235,0.081725,0.080475,0.0767,0.051875000000000004,0.042624999999999996,0.065175,0.07172500000000001,0.020399999999999998,0.0316
8,LC,0.44,1.585,1.3324999999999998,1.445,1.48,1.2625,1.115,1.2075,1.3525,0.685
9,DB/PL,0.1225,0.52,0.5475,0.525,0.595,0.6325000000000001,0.5875,0.5974999999999999,0.6375,0.39
10,LPA,1.4375,5.21,4.5,4.135,1.8125,0.7825000000000001,3.08,3.515,0.9099999999999999,1.44
11,VPA,13.5275,51.6375,49.0,48.652499999999996,45.94,44.295,43.269999999999996,40.5175,38.152499999999996,25.942500000000003
12,DPA,0.4,1.775,1.805,1.1075,0.5675,0.25999999999999995,1.0025,1.2025000000000001,0.28,0.7224999999999999
