,Unnamed: 0,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,P/L,8.935,6.0825,5.125,215.13,11.275,2.4225000000000008,31.43,7.805,43.407500000000006,6.859999999999999
1,P/VPA,0.71,1.645,1.6300000000000001,0.7224999999999999,0.965,1.1775,1.8199999999999998,1.62,2.1224999999999996,3.22
2,P/FCO,0.925,4.992500000000001,8.995000000000001,14.245,2.565,2.8874999999999997,6.7225,4.885,5.709999999999999,6.37
3,DY,0.033624999999999995,0.016825,0.0,0.0,0.0,0.07520000000000002,0.09360000000000002,0.08970000000000002,0.07627500000000001,0.06865
4,PSRO ín,0.46,1.6575,1.47,-0.6975,1.9024999999999999,2.42,2.1175,2.395,2.7199999999999998,2.425
5,EV/EBIT,4.6875,9.7125,5.9225,-10.785,5.8325,10.945,9.5,31.877499999999998,26.7175,5.355
6,ROE,0.02015,0.272925,0.34175,0.03855,0.0833,-0.010775,-0.012475,0.0688,0.116175,0.50385
7,ROIC,0.0216,0.12229999999999999,0.1671,0.014124999999999999,0.0715,0.091625,0.0877,0.07085000000000001,0.07627500000000001,0.20604999999999998
8,LC,0.3,1.1325,1.1624999999999999,0.6475,1.9725000000000001,3.1825,2.325,2.7325,3.4275,3.7199999999999998
9,DB/PL,1.6475,2.6125,3.3724999999999996,1.8,2.8125,6.045,4.53,3.5625,3.4875,3.055
10,LPA,0.0775,2.1675,2.2225,0.2225,0.48750000000000004,0.13749999999999998,-0.0325,0.4325,0.7025,2.975
11,VPA,0.975,7.93,6.345,2.9275,4.465,4.29,4.575,6.047499999999999,6.112500000000001,5.9225
12,DPA,0.0775,0.6375000000000001,0.1625,0.0,0.0,0.0,0.435,0.09,0.8075000000000001,1.2349999999999999
