,Unnamed: 0,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,P/L,-23.8925,11.067499999999999,12.5475,16.6175,11.6725,7.0275,8.425,8.5125,8.492500000000001,7.405
1,P/VPA,1.245,3.035,3.2625,3.6599999999999997,2.5375,1.8275000000000001,1.9125,2.0875,2.755,3.0675000000000003
2,P/FCO,9.8825,8.57,30.385,14.43,5.9225,5.33,9.6525,6.069999999999999,6.6775,4.9350000000000005
3,DY,0.014025000000000001,0.022625,0.043325,0.063225,0.08095,0.11555000000000001,0.129225,0.043225,0.07625,0.071475
4,PSRO ín,-1.05,1.5574999999999999,1.7650000000000001,1.93,1.6225,1.3350000000000002,1.455,1.55,2.57,1.7025000000000001
5,EV/EBIT,-13.0375,10.3375,11.6475,15.1175,10.2025,7.785,10.854999999999999,10.1325,9.145000000000001,7.98
6,ROE,0.058925,0.27475,0.26149999999999995,0.22064999999999999,0.21815,0.26170000000000004,0.228375,0.24507500000000002,0.32175,0.44045
7,ROIC,0.027800000000000002,0.14305,0.12605,0.12115000000000001,0.13352499999999998,0.14742499999999997,0.117225,0.12912500000000002,0.17714999999999997,0.22065
8,LC,0.9125,1.525,0.9949999999999999,0.8174999999999999,1.165,1.485,1.25,1.0950000000000002,1.3425000000000002,1.3874999999999997
9,DB/PL,0.765,1.67,1.7249999999999999,1.4325,1.13,0.9924999999999999,0.7949999999999999,0.6399999999999999,0.7525,0.825
10,LPA,0.4025,1.6300000000000001,1.415,1.0875,1.1075,1.2999999999999998,1.12,1.2675,1.57,1.885
11,VPA,3.525,5.970000000000001,5.4025,4.9325,5.07,4.984999999999999,4.8950000000000005,5.165,4.8875,4.327500000000001
12,DPA,0.042499999999999996,0.9775,0.9424999999999999,1.0925,0.95,1.0375,1.0950000000000002,0.4725,0.7975,1.3375
