,Unnamed: 0,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,P/L,2.1625000000000005,2.89,3.1325000000000003,-0.615,-0.9625,-1.0225,-1.8625,-0.525,31.625
1,P/VPA,0.13,0.11500000000000002,0.10500000000000001,0.0475,0.045000000000000005,0.030000000000000002,0.052500000000000005,0.0625,0.0325
2,P/FCO,4.1125,-13.7,6.0075,-0.56,-0.6525000000000001,0.9825,-0.07250000000000023,-8.717500000000001,27.0625
3,DY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00035000000000000005,0.0015749999999999998
4,PSRO ín,-2.64,0.2925,-9.33,0.18,0.1875,0.1675,0.20500000000000002,0.2025,0.18
5,EV/EBIT,-16.1825,4.1175,41.974999999999994,13.235,25.015,13.315000000000001,9.922500000000001,5.709999999999999,10.5375
6,ROE,0.007575000000000001,0.02985,0.032799999999999996,-0.058475,-0.045575,-0.032175,-0.033225,-0.14977500000000002,-0.040975000000000004
7,ROIC,-0.027625,0.076325,0.011949999999999999,0.018525,0.0162,0.025775,0.02735,0.026475,0.00015000000000000018
8,LC,0.9424999999999999,1.085,1.0775,1.17,1.5950000000000002,1.6,1.7725,1.83,1.0575
9,DB/PL,0.605,0.77,0.7875,0.6950000000000001,0.7325,0.6025,0.5025,0.5049999999999999,0.2875
10,LPA,0.49499999999999994,1.4575,1.3900000000000001,-2.655,-2.32,-1.7175,-1.8325,-8.27,-2.27
11,VPA,46.3025,36.5175,31.72,34.1025,50.977500000000006,53.615,55.0075,55.015,29.7075
12,DPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
