,Unnamed: 0,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,P/L,12.84,-16.96,4.460000000000001,-10.4625,-8.0875,-25.369999999999997,52.1475,6.3675,4.3525,4.797499999999999
1,P/VPA,0.19,0.5775,0.56,0.335,0.2925,0.355,0.59,0.8474999999999999,0.6575,0.4225
2,P/FCO,-3.105,-1.7849999999999997,11.657499999999999,2.4850000000000003,10.1875,-11.3975,-10.080000000000002,-81.765,7.6275,8.8475
3,DY,0.017475,0.10694999999999999,0.27705,0.0020499999999999997,0.000725,0.018600000000000002,0.054175,0.0318,0.040125,0.040749999999999995
4,PSRO ín,8.545,11.4575,0.41000000000000003,0.27749999999999997,0.265,0.3125,0.4925,0.695,0.4,0.3325
5,EV/EBIT,23.5925,-44.155,6.2025,10.7325,0.9550000000000001,10.01,14.8975,5.609999999999999,3.5075000000000003,4.1225000000000005
6,ROE,0.0037,-0.02565,0.09489999999999998,0.017275,-0.06065,-0.040425,0.042525,0.13455,0.154025,0.092475
7,ROIC,0.00105,-0.00375,0.071075,0.035625,-0.004999999999999999,0.010199999999999999,0.047174999999999995,0.1188,0.158525,0.09345
8,LC,0.355,0.8799999999999999,0.9199999999999999,0.8524999999999999,1.4500000000000002,1.725,1.945,3.01,3.12,1.4925
9,DB/PL,0.185,0.6925,0.7375,0.47750000000000004,0.525,0.455,0.4225,0.255,0.1675,0.22749999999999998
10,LPA,0.0275,-0.1825,0.53,0.1125,-0.38,-0.2625,0.2975,0.92,0.9400000000000001,0.6625
11,VPA,1.8525,5.375,4.2975,4.8325,6.2924999999999995,6.675,6.952500000000001,6.84,6.112500000000001,4.185
12,DPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
