,Unnamed: 0,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,P/L,5.7175,157.21749999999997,-65.69,-27.5225,17.0275,7.345000000000001,7.3975,8.5625,10.1675,9.0725
1,P/VPA,0.435,1.6825,0.9075,0.8425,0.6124999999999999,0.5925,0.8025,1.0275,1.2625,0.85
2,P/FCO,3.95,14.610000000000001,6.2524999999999995,72.64,182.75,3.8125,9.4225,13.649999999999999,26.8075,-20.1625
3,DY,0.0,0.03075,0.043625,0.010875000000000001,0.030325,0.044649999999999995,0.03515,0.0286,0.018275,0.025825
4,PSRO ín,0.71,2.9,2.5100000000000002,2.515,1.83,1.3050000000000002,1.4825,1.7125,1.405,1.3
5,EV/EBIT,4.475,32.59,-44.105000000000004,0.355000000000004,16.8525,6.952500000000001,8.145000000000001,8.52,9.86,9.932500000000001
6,ROE,0.018975,0.045149999999999996,-0.018375000000000002,-0.00835,0.04125,0.079075,0.10847499999999999,0.12029999999999999,0.12440000000000001,0.104575
7,ROIC,0.015825,0.0402,-0.00605,-0.0018250000000000007,0.031375,0.06515,0.077625,0.089,0.0743,0.057625
8,LC,0.595,2.97,2.9675000000000002,3.1825,3.1875,2.795,2.29,2.28,2.15,1.5499999999999998
9,DB/PL,0.12,0.4125,0.4275,0.48750000000000004,0.5225,0.585,0.6699999999999999,0.63,0.8425,0.685
10,LPA,0.2475,0.6074999999999999,-0.265,-0.1275,0.6975,1.31,1.7174999999999998,1.865,1.63,1.65
11,VPA,3.26,13.7,14.385000000000002,16.122500000000002,16.895,16.595,15.85,15.5275,13.1,9.1475
12,DPA,0.0,0.0,0.0,0.0,0.0,-0.78,0.78,0.0,0.0,0.0
