,Unnamed: 0,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,P/L,-275.0,111.4375,48.817499999999995,57.057500000000005,84.57500000000002,-154.8425,34.167500000000004,41.82000000000001,36.8225,34.9325
1,P/VPA,1.28,4.4125,2.4524999999999997,2.665,1.6675,1.0675,1.4675,1.435,1.57,2.2675
2,P/FCO,6.205,20.722500000000004,18.07,12.25,7.029999999999999,7.022499999999999,10.7025,13.4625,45.8725,2.969999999999999
3,DY,0.001875,0.01655,0.009,0.004025,0.003575,0.007575,0.0072,0.0046500000000000005,0.0054,0.0068
4,PSRO ín,1.255,4.112500000000001,2.66,2.8200000000000003,1.93,1.4500000000000002,1.8775000000000002,1.9725000000000001,2.1975,2.6825
5,EV/EBIT,22.515,45.9725,25.775000000000002,26.645,20.4725,22.715,16.86,19.794999999999998,16.43,14.307500000000001
6,ROE,-0.001225,0.041825,0.0514,0.047875,0.022025,0.0097,0.044375,0.035525,0.04445,0.0675
7,ROIC,0.0102,0.061175,0.059825,0.061925,0.0405,0.031349999999999996,0.053875000000000006,0.04795,0.06889999999999999,0.11125
8,LC,0.3525,1.53,1.5,1.4475000000000002,1.945,1.8575,1.8725,1.865,1.9925000000000002,1.76
9,DB/PL,0.245,0.7425,0.6625,0.4875,0.435,0.52,0.4825,0.445,0.405,0.39
10,LPA,-0.015,0.46499999999999997,0.565,0.46749999999999997,0.2025,0.085,0.395,0.305,0.37,0.5475
11,VPA,3.2225,11.1075,11.0175,9.8325,9.122499999999999,8.955,8.9225,8.6075,8.372499999999999,8.105
12,DPA,0.1425,0.5625,0.24500000000000002,0.095,0.035,0.049999999999999996,0.09000000000000001,0.07750000000000001,0.1075,0.10500000000000001
