,Unnamed: 0,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,P/L,6.08,-22.6525,-10.25,-8.385,-7.775,4.305,7.3775,8.4175,7.5600000000000005,8.022499999999999
1,P/VPA,0.395,1.325,0.7449999999999999,0.5375,0.46499999999999997,0.4,0.895,1.2675,1.2775,0.96
2,P/FCO,2.6125,6.88,9.184999999999999,20.9575,5.33,3.58,4.045,29.095,-12.625,-5.55
3,DY,0.0134,0.046,0.0204,0.025075,0.058675,0.12555,0.045675,0.0218,0.024300000000000002,0.033025
4,PSRO ín,0.5175,1.7274999999999998,1.8675,1.5975000000000001,0.885,0.67,1.205,1.5975,1.46,1.6875
5,EV/EBIT,3.245,49.5175,-22.2275,-13.139999999999999,94.405,5.1375,7.2875000000000005,9.4875,8.567499999999999,8.56
6,ROE,0.016200000000000003,0.021974999999999998,-0.079075,-0.07112500000000001,0.04120000000000001,0.0921,0.12144999999999999,0.15075,0.17005,0.133525
7,ROIC,0.016025,0.034574999999999995,-0.04217499999999999,-0.049325,0.03,0.06575,0.084725,0.09545,0.101725,0.08215
8,LC,1.06,3.8225,3.2749999999999995,3.8925,3.5625,3.39,3.505,3.1775,3.0949999999999998,2.3449999999999998
9,DB/PL,0.1725,0.6625000000000001,0.6575,0.5499999999999999,0.505,0.4925,0.54,0.565,0.4975,0.27749999999999997
10,LPA,0.1475,0.1975,-0.7625,-0.7699999999999999,0.49,1.06,1.3475,1.5475,1.5075,1.3074999999999999
11,VPA,2.2675,9.0175,9.685,10.852500000000001,11.740000000000002,11.5075,11.115,10.275,8.872499999999999,5.8275
12,DPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.29500000000000004,0.0675
