,Unnamed: 0,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,P/L,6.28,20.505000000000003,10.415,15.217500000000001,33.5625,13.575,7.4225,7.3675,10.2925,54.6175
1,P/VPA,0.275,0.6950000000000001,0.8225,0.665,1.01,0.9675,0.735,0.5125,0.5575,2.7649999999999997
2,P/FCO,3.5975,30.7625,18.9725,11.754999999999999,18.905,19.41,6.9125,11.31,9.205,-5844.2125
3,DY,0.0,0.01845,0.024700000000000003,0.006,0.00795,0.020749999999999998,0.036825000000000004,0.053325,0.051949999999999996,0.0803
4,PSRO ín,0.35,0.845,1.0025,0.8025,1.2349999999999999,1.245,0.885,0.6575,0.755,3.1325000000000003
5,EV/EBIT,38.1525,31.33,11.425,13.925,25.642500000000002,13.6175,6.0775,5.1675,9.225,132.83499999999998
6,ROE,0.010925,0.03795,0.0803,0.033525,0.030699999999999998,0.07394999999999999,0.09915,0.07075000000000001,0.053,0.05777499999999999
7,ROIC,0.0097,0.012074999999999999,0.050075,0.026175,0.025175,0.05335,0.0848,0.064775,0.040124999999999994,0.01765
8,LC,1.67,4.7625,6.3525,5.035,5.605,5.380000000000001,5.1775,4.3149999999999995,4.67,5.2125
9,DB/PL,0.01,0.04,0.045,0.015,0.045,0.0525,0.0475,0.075,0.055,0.030000000000000002
10,LPA,0.1075,0.36,0.7474999999999999,0.29,0.255,0.5999999999999999,0.7625,0.505,0.36250000000000004,0.38
11,VPA,2.445,7.1075,9.264999999999999,6.5024999999999995,8.314999999999998,8.105,7.6725,7.1,6.777500000000001,6.5775
12,DPA,0.0325,0.1575,0.195,0.0,0.09,0.165,0.1825,0.15749999999999997,0.15,0.11250000000000002
