,Unnamed: 0,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,P/L,0.44,1.795,0.7925000000000003,7.9224999999999985,69.595,5.85,7.5175,7.04,6.092499999999999
1,P/VPA,0.055,0.1,0.8400000000000001,0.405,0.44999999999999996,0.6775,0.8075,1.02,1.165
2,P/FCO,0.1375,6.1675,-32.775,1.6425,21.5025,2.0175,-27.067500000000003,9.75,15.2725
3,DY,0.013625,0.052875000000000005,0.027374999999999997,0.074075,0.0885,0.052599999999999994,0.010074999999999999,0.0,0.0
4,PSRO ín,0.085,0.24,0.52,0.33,0.375,0.38749999999999996,0.4325,0.4125,0.35750000000000004
5,EV/EBIT,1.8625000000000003,7.6375,49.29500000000001,4.11,17.75,4.8725000000000005,5.2525,4.825,3.6100000000000003
6,ROE,0.091625,0.126625,0.12334999999999999,-0.013125000000000001,-0.014725,0.11697500000000001,0.108625,0.147975,0.19990000000000002
7,ROIC,0.09655,0.10550000000000001,0.12235000000000001,0.0559,0.054650000000000004,0.11297499999999999,0.112675,0.147475,0.22250000000000003
8,LC,0.8675,1.03,1.4000000000000001,1.86,1.875,1.7425000000000002,1.8575,1.435,1.545
9,DB/PL,0.355,0.6400000000000001,0.5025,0.605,0.7625,0.585,0.6875,0.5975,0.685
10,LPA,6.612500000000001,6.1450000000000005,4.9025,-0.33249999999999996,-0.46,3.8425,3.295,4.055,4.63
11,VPA,54.0875,49.975,34.807500000000005,30.315,31.455,32.885000000000005,30.2875,27.4875,23.12
12,DPA,0.0,0.0,0.0,0.0,0.99,1.155,0.3025,0.0,0.0
