,Unnamed: 0,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,P/L,3.745,3.1375,-1.255,-1.1824999999999999,-1.5125,-9.95,116.3275,-0.1900000000000004,6.695
1,P/VPA,0.61,1.0575,0.7075,0.6375000000000001,0.47000000000000003,0.35250000000000004,0.38749999999999996,0.4925,0.2
2,P/FCO,77.2725,-24.82,-14.467500000000001,-7.855,4.869999999999998,46.005,17.8625,-36.3775,2826.0424999999996
3,DY,0.028475,0.05955,0.0,0.0,0.094175,0.12009999999999998,0.061200000000000004,0.20554999999999995,0.0351
4,PSRO ín,0.0,0.0,0.0,0.0,0.0,-8505.355,137.64,21.125,16.8475
5,EV/EBIT,4.1850000000000005,3.1750000000000003,-1.6575000000000002,-2.0225,-2.3274999999999997,-12.7475,24.845000000000002,0.01749999999999985,5.5075
6,ROE,0.019299999999999998,0.25597499999999995,-0.48534999999999995,-0.579925,-0.312625,-0.07657499999999999,0.01325,0.14600000000000002,0.07335
7,ROIC,0.019450000000000002,0.24272500000000002,-0.349675,-0.3974,-0.23812499999999998,-0.06190000000000001,0.015875,0.13799999999999998,0.06987499999999999
8,LC,0.26,0.095,0.085,0.0675,0.07250000000000001,0.565,0.14250000000000002,1.0975,0.885
9,DB/PL,0.0025,0.07500000000000001,0.16999999999999998,0.275,0.195,0.0975,0.05499999999999999,0.0025,0.0
10,LPA,2.2650000000000006,17.2975,-21.134999999999998,-34.0975,-31.530000000000005,-9.8975,1.6625,13.1675,8.88
11,VPA,80.98249999999999,50.739999999999995,33.5,64.3025,101.6975,137.61,125.0075,87.735,49.707499999999996
12,DPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
