,Unnamed: 0,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,P/L,-4.1625,7.9575,7.245,3.13,0.565,-0.0075,-0.030000000000000006,-0.0675,0.047499999999999994,0.1975
1,P/VPA,0.34,0.8725,0.75,0.5525,0.21,0.0075,0.01,0.01,0.01,0.0075
2,P/FCO,44.7825,-1.6450000000000014,-0.8525,-531.2175,1.8125,0.015000000000000001,0.065,0.04,0.11500000000000002,0.1825
3,DY,0.007525,0.015349999999999999,0.0894,0.065625,0.0,0.0,0.0,0.0,0.0,0.0
4,PSRO ín,-36.3425,2.4775,2.145,1.3375,0.48250000000000004,0.3925,0.52,0.1975,0.13,0.19249999999999998
5,EV/EBIT,-21.045,5.9825,5.295,3.475,1.4375,1.4200000000000002,3.3725,-14.9625,-1.3425,2.3
6,ROE,-0.020475,0.08259999999999999,0.120275,0.22465000000000002,0.301925,-0.13557499999999997,-0.074725,-0.13929999999999998,0.060175000000000006,0.045200000000000004
7,ROIC,-0.003775,0.07625000000000001,0.122225,0.183425,0.23967499999999997,-0.13749999999999998,-0.11057499999999999,-0.18814999999999998,0.043050000000000005,0.041825
8,LC,0.52,2.0375,1.65,1.585,1.1075,1.4125,2.8899999999999997,3.8,3.3225,1.0675
9,DB/PL,0.0775,0.1675,0.225,0.14250000000000002,0.14250000000000002,0.245,0.20500000000000002,0.11750000000000001,0.09000000000000001,0.11
10,LPA,-4.955,22.134999999999998,29.83,53.8575,67.845,-20.3725,-12.065000000000001,-26.5375,15.6575,14.5875
11,VPA,60.515,200.12,248.1075,241.84750000000003,211.88,151.34749999999997,175.13,192.28000000000003,249.2,179.32999999999998
12,DPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
