,Unnamed: 0,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,P/L,1.8525,8.334999999999999,9.8425,10.335,12.375,7.984999999999999,13.75,15.96,10.12,7.652500000000001
1,P/VPA,0.7124999999999999,1.6125,1.6275,2.0475,1.9049999999999998,1.9925000000000002,1.4875,1.9225,2.9099999999999997,2.2824999999999998
2,P/FCO,9.692499999999999,6.2975,20.3375,6.362500000000001,4.0625,8.430000000000001,-44.9225,6.34,7.865,4.49
3,DY,0.0062,0.0313,0.049725000000000005,0.09345,0.109225,0.11295,0.11745,0.074875,0.0906,0.10545
4,PSRO ín,-10.004999999999999,1.1374999999999997,1.1124999999999998,1.14,1.2025000000000001,1.1549999999999998,1.21,1.4775,1.5025,1.225
5,EV/EBIT,-64.5525,8.4075,9.1275,9.2125,9.7,6.795,11.537500000000001,12.4225,7.6450000000000005,5.54
6,ROE,0.047049999999999995,0.192475,0.16670000000000001,0.20015,0.15422500000000003,0.2658,0.14225,0.12514999999999998,0.30662500000000004,0.31847499999999995
7,ROIC,0.024525,0.10610000000000001,0.089475,0.109975,0.099075,0.1401,0.09029999999999999,0.088625,0.19227499999999997,0.19592500000000002
8,LC,0.6075,1.7425,1.7275,1.03,1.2875,1.71,1.6475,1.3199999999999998,1.22,0.935
9,DB/PL,0.76,1.5225,1.7675,1.3724999999999998,1.425,1.2725,1.0474999999999999,0.7475,0.8099999999999999,0.64
10,LPA,0.68,2.5175,1.9,2.085,1.59,2.8475,1.4825,1.31,2.77,2.8625
11,VPA,7.3100000000000005,13.0725,11.395,10.447500000000002,10.2825,10.775,10.247499999999999,10.445,9.515,5.395
12,DPA,0.0875,0.905,1.09,1.835,1.79,2.42,1.8199999999999998,1.5425,2.205,2.505
