,Unnamed: 0,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,P/L,3.4275,9.6725,4.0775,8.0375,4.1925,-11.015,4.1850000000000005,-0.8325000000000001,-7.2925,10.38
1,P/VPA,0.28,1.085,0.5874999999999999,0.45249999999999996,0.285,0.20500000000000002,0.25,0.35000000000000003,0.4225,0.335
2,P/FCO,2.2575,7.734999999999999,15.845,5.085000000000001,-4.1875,-3.4749999999999996,-4.0375,-2.0375,4.817500000000001,-3.0500000000000007
3,DY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,PSRO ín,0.6775,2.5225,2.3575,2.0475000000000003,1.4775,1.3525,1.6525,1.5350000000000001,1.8675000000000002,1.3475000000000001
5,EV/EBIT,8.7125,80.1175,103.0775,111.55499999999999,-217.92499999999998,-5.67,-5.2325,11.712499999999999,-2.1275,-2.445
6,ROE,0.0204,0.11254999999999998,0.151675,0.0756,0.06835,0.039150000000000004,0.01755,-0.10404999999999999,-0.08655000000000002,0.006724999999999995
7,ROIC,-0.0008,0.021125,0.056675,0.010575,-0.043274999999999994,-0.05905,-0.068075,-0.12965,-0.19820000000000002,-0.16517500000000002
8,LC,1.285,4.155,3.2175000000000002,2.565,2.9225,2.21,2.2325,2.76,1.665,1.335
9,DB/PL,0.0175,0.08,0.095,0.11499999999999999,0.125,0.135,0.125,0.07750000000000001,0.0125,0.0
10,LPA,0.5525,2.81,3.5,1.5825,1.4225,0.7875,0.3675,-1.8325,-1.6524999999999999,0.16999999999999998
11,VPA,6.7675,25.044999999999998,23.107499999999998,20.4125,20.8275,19.565,19.650000000000002,18.7725,20.23,21.8825
12,DPA,0.15,0.6375000000000001,0.74,0.1925,0.0,0.0,0.0,0.0,0.0,0.0
