,Unnamed: 0,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,P/L,-0.615,-24.237499999999997,-105.25,20.54,54.040000000000006,126.2775,16.2025,23.29,93.3225,41.5
1,P/VPA,0.0875,0.8200000000000001,1.03,1.0225,1.02,1.425,1.7974999999999999,1.845,1.6175000000000002,1.65
2,P/FCO,0.595,10.83,3.225,5.702500000000001,-5.172500000000001,10.7625,23.42,10.11,9.5625,54.557500000000005
3,DY,0.0,0.0019249999999999998,0.010075,0.011775,0.008175,0.010275,0.0137,0.0126,0.0132,0.030925
4,PSRO ín,0.15,0.9450000000000001,1.605,1.3425,1.08,1.725,1.48,1.4774999999999998,1.2025,3.185
5,EV/EBIT,-2.0475,-52.33500000000001,67.255,18.134999999999998,93.8625,17.565,10.1875,11.8025,13.52,28.582500000000003
6,ROE,-0.035625,-0.0489,-0.007875,0.0622,0.035225,0.020725,0.1174,0.081125,0.038599999999999995,0.044925
7,ROIC,-0.0231,-0.02615,0.013175000000000001,0.03715,0.022175,0.0165,0.085775,0.05635,0.038349999999999995,0.029675
8,LC,0.325,1.355,2.3175,2.545,1.9275,2.21,2.0949999999999998,1.915,1.8,1.8625
9,DB/PL,0.0525,0.0475,0.9900000000000001,1.0350000000000001,0.9625000000000001,0.8375,0.62,0.6575000000000001,0.64,0.5225
10,LPA,-0.8225,-0.99,-0.18750000000000003,1.12,0.6275,0.36000000000000004,1.4325,0.8325,0.3475,0.33249999999999996
11,VPA,5.765,20.445,20.4125,17.935000000000002,17.362500000000004,18.3,12.3675,10.235000000000001,8.6975,7.4625
12,DPA,0.0,0.019999999999999997,-0.0175,-0.019999999999999997,0.019999999999999997,-0.0225,0.0225,0.0675,-0.095,0.13999999999999999
