,Unnamed: 0,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,P/L,2.895,14.004999999999999,7.140000000000001,10.584999999999999,-110.9575,9.4175,14.175,20.474999999999998,-61.379999999999995,64.05
1,P/VPA,0.225,1.23,1.0625,0.8125,0.455,0.6175,0.9075,1.255,1.3800000000000001,2.215
2,P/FCO,0.7675,7.0200000000000005,5.5975,5.8575,5.7575,3.6025,6.975000000000001,8.662500000000001,14.5175,24.44
3,DY,0.05405,0.134175,0.0993,0.020675,0.031675,0.024024999999999998,0.01385,0.0,0.0,0.0
4,PSRO ín,0.6275,3.955,5.8100000000000005,5.8275,3.1475,4.1225000000000005,4.85,6.1675,7.875,18.369999999999997
5,EV/EBIT,1.345,9.145,3.6525,8.9825,-0.6125000000000003,4.745,14.482500000000002,20.215,156.72500000000002,80.26
6,ROE,0.019325000000000002,0.0875,0.15119999999999997,0.079625,0.012400000000000001,0.0773,0.06442500000000001,0.073675,0.0317,0.040975000000000004
7,ROIC,0.01375,0.05959999999999999,0.10735,0.0392,-0.021125,-0.00040000000000000105,0.031375,0.046474999999999995,-0.006274999999999999,0.009025
8,LC,1.0075,4.1925,7.1675,7.0,7.12,9.025,8.425,7.695,9.5775,5.21
9,DB/PL,0.02,0.0925,0.0925,0.11249999999999999,0.135,0.1375,0.07750000000000001,0.0175,0.0075,0.0875
10,LPA,0.2275,0.9624999999999999,1.775,0.8825000000000001,0.13,0.7975,0.5975,0.6525000000000001,0.2675,0.33
11,VPA,2.9375,10.967500000000001,11.7875,10.985,10.2425,10.275,9.272499999999999,8.8375,8.285,8.065
12,DPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13
