,Unnamed: 0,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,P/L,2.03,8.6075,9.6525,16.205000000000002,8.95,6.4025,12.3125,20.697499999999998,32.53,32.8025
1,P/VPA,0.255,1.1375,0.915,0.9175000000000001,0.9175,0.9475,0.9550000000000001,1.1475,1.8399999999999999,3.5925
2,P/FCO,1.4125,5.385,5.7275,4.855,3.8975000000000004,5.53,9.902500000000002,7.914999999999999,9.3325,12.235
3,DY,0.006925,0.041975000000000005,0.045524999999999996,0.0415,0.04735,0.045025,0.080125,0.081225,0.1406,0.059675000000000006
4,PSRO ín,0.2725,1.2525,1.0175,1.1875,1.3624999999999998,1.1275,1.0525,1.3325,2.705,3.885
5,EV/EBIT,1.7675,7.5200000000000005,7.205,8.4725,5.7175,5.33,6.9675,9.462499999999999,14.66,16.5825
6,ROE,0.031325,0.132025,0.097075,0.057275000000000006,0.114975,0.15264999999999998,0.082725,0.05777500000000001,0.05397500000000001,0.118675
7,ROIC,0.024624999999999998,0.10377499999999999,0.0902,0.0837,0.127025,0.1301,0.099625,0.081525,0.07930000000000001,0.13125
8,LC,0.3225,1.4275,1.3375000000000001,1.1925,1.38,1.0625,0.9999999999999999,0.8675,1.0375,1.1525
9,DB/PL,0.2025,0.7975,0.695,0.6124999999999999,0.6725,0.785,0.5325,0.6000000000000001,0.61,0.505
10,LPA,0.54,2.2125000000000004,1.52,0.8699999999999999,1.65,1.8475000000000001,0.8724999999999999,0.5975,0.5825,1.2974999999999999
11,VPA,4.315,16.764999999999997,15.575,15.182500000000001,14.7175,12.0,10.532499999999999,10.3125,10.785,10.92
12,DPA,0.145,0.685,0.375,0.5675000000000001,0.5425,0.34249999999999997,0.15999999999999998,0.2175,0.215,0.06
