,Unnamed: 0,2020,2019,2018,2017,2016,2015,2014,2013
0,P/L,3.865,10.9725,10.297500000000001,5.145,-12.9925,0.025,-0.35250000000000004,-0.19
1,P/VPA,0.35,1.2125,0.6174999999999999,0.715,0.5975,0.0325,0.10500000000000001,0.07
2,P/FCO,1.57,5.4275,2.535,44.4375,-4.005,0.1225,-0.72,-0.35
3,DY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,PSRO ín,1.1,4.305,2.5100000000000002,3.1775,2.9875,2.255,1.3824999999999998,3.555
5,EV/EBIT,3.38,12.7125,7.677499999999999,9.719999999999999,95.69250000000001,-1.25,159.8625,-10.54
6,ROE,0.022725,0.1176,0.081275,0.010725000000000002,-0.0293,-0.7561,-0.49295,-0.303125
7,ROIC,0.020475,0.10287500000000001,0.08875,0.06620000000000001,0.014375,-0.041225000000000005,-0.025675000000000003,-0.051925
8,LC,0.5025,2.205,1.3725,1.2125,0.6425000000000001,0.5275,0.21500000000000002,0.2475
9,DB/PL,0.1925,0.8175,0.83,1.0075,1.2349999999999999,3.2175,2.6575,2.2925
10,LPA,0.68,3.2175,2.0175,0.215,-0.4375,-3.9250000000000003,-3.51,-3.1975
11,VPA,7.4825,27.495,24.17,19.6125,15.399999999999999,7.8925,9.254999999999999,10.5525
12,DPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
