,Unnamed: 0,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,P/L,4.515,19.7725,15.797500000000001,31.235,38.5,12.92,19.1375,15.705000000000002,15.5125,14.879999999999999
1,P/VPA,0.585,2.4,2.4050000000000002,1.78,1.5150000000000001,1.485,1.615,2.3175,2.785,3.0675
2,P/FCO,1.5175,-132.11499999999998,6.720000000000001,5.16,3.4575,5.074999999999999,2.5225,5.915,11.09,13.3475
3,DY,0.00185,0.023025,0.023875,0.019399999999999997,0.036475,0.061575000000000005,0.053899999999999997,0.069725,0.042525,0.040775
4,PSRO ín,0.39,1.6099999999999999,1.3975,1.15,1.0325000000000002,0.89,1.755,2.2125,2.2675,1.7774999999999999
5,EV/EBIT,4.525,13.69,15.155000000000001,15.559999999999999,46.59,10.285,18.4325,17.8825,17.09,15.375
6,ROE,0.0325,0.13415,0.15689999999999998,0.067575,0.042475000000000006,0.12045,0.08582500000000001,0.15372499999999997,0.180125,0.213125
7,ROIC,0.018975,0.09350000000000001,0.09962499999999999,0.09390000000000001,0.046075,0.12967499999999998,0.064875,0.08465,0.10262500000000001,0.1272
8,LC,0.3,1.545,1.2875,1.2,1.2675,1.125,1.2275,1.5125,1.7224999999999997,1.435
9,DB/PL,0.6775,2.6,2.4225000000000003,1.6450000000000002,2.0025,2.3325,2.3325,1.605,1.8050000000000002,1.76
10,LPA,0.66,2.4425,2.2175,0.94,0.5025000000000001,1.105,0.6475,0.795,0.7324999999999999,0.7575
11,VPA,5.085,18.2375,13.852500000000003,13.9825,11.735,9.135000000000002,7.762499999999999,5.1850000000000005,4.0725,3.5824999999999996
12,DPA,0.1375,0.9650000000000001,0.865,0.5375000000000001,0.405,0.6174999999999999,0.48250000000000004,0.53,0.35,0.3275
