,Unnamed: 0,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,P/L,45.692499999999995,9.4875,18.955000000000002,13.965,6.955,-0.5449999999999968,-6.179999999999996,19.6625,10.775
1,P/VPA,1.5225,1.5499999999999998,2.3875,2.06,1.655,1.6275,1.4825,2.04,2.0625
2,P/FCO,-19.522499999999997,8.432500000000001,142.5325,6.6425,4.667499999999999,-17.78,-33.3025,5.9575,6.41
3,DY,0.00345,0.013024999999999998,0.014175000000000002,0.019424999999999998,0.02055,0.0074,0.006150000000000001,0.061500000000000006,0.11995
4,PSRO ín,11.745000000000001,1.42,1.9899999999999998,1.7325,1.3524999999999998,1.3625,1.6,1.92,1.44
5,EV/EBIT,41.88,7.93,12.86,13.367500000000001,8.447500000000002,19.5925,20.4025,11.005,6.824999999999999
6,ROE,0.040249999999999994,0.1234,0.130375,0.15375,0.251875,0.056675,0.020975,0.11025,0.204125
7,ROIC,0.015099999999999999,0.078825,0.0986,0.082525,0.1221,0.06770000000000001,0.04127499999999999,0.09784999999999999,0.17902500000000002
8,LC,1.1675,1.3925,1.7225,1.7075,1.6875,1.31,1.56,1.2374999999999998,1.4075
9,DB/PL,1.69,0.97,1.0025,0.845,0.9725,1.1949999999999998,1.1025,1.1475,1.1375000000000002
10,LPA,1.495,3.73,3.5075,3.5975,5.1625,0.9575,0.3,0.845,1.2175000000000002
11,VPA,27.0975,22.689999999999998,26.659999999999997,23.5275,20.36,15.1175,13.975,8.3925,5.9725
12,DPA,0.0,0.0,0.86,0.965,0.25,-0.17,0.34,0.23,0.8049999999999999
