,Unnamed: 0,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,P/L,-89.0,-15.96,-6.9575,-2.5325,-8.45,7.66,11.307500000000001,15.78,13.49,14.925
1,P/VPA,-8.9,-160.4075,9.235,0.33999999999999997,0.5475000000000001,0.835,2.0975,3.305,3.68,2.795
2,P/FCO,4.3,31.14,9.422500000000003,2.4375,5.382499999999999,4.9125,8.3575,13.932500000000001,15.200000000000001,15.455
3,DY,0.0,0.0,0.0,0.0,0.0732,0.18065,0.14937499999999998,0.0874,0.086325,0.094975
4,PSRO ín,0.3675,1.235,-2.11,0.2525,0.37250000000000005,0.495,1.1500000000000001,1.7725,1.7074999999999998,1.9075000000000002
5,EV/EBIT,3.865,-3.6324999999999994,-14.095,-6.1625000000000005,-2.9650000000000016,4.77,8.4125,11.1725,10.545,12.175
6,ROE,0.0287,13.81555,-3.230825,-0.10922500000000002,-0.026324999999999994,0.123575,0.18119999999999997,0.210425,0.27292500000000003,0.21785
7,ROIC,-0.02005,-0.9049500000000001,-0.28957499999999997,-0.061025,0.018375000000000002,0.111175,0.144575,0.18730000000000002,0.206775,0.17927500000000002
8,LC,0.2425,1.11,1.355,1.665,2.1075,1.835,1.9949999999999999,2.0925,2.045,1.59
9,DB/PL,-1.755,-25.2675,3.42,0.1875,0.27749999999999997,0.3175,0.225,0.1525,0.1875,0.06999999999999999
10,LPA,-0.0025,-0.58,-0.3075,-0.2625,-0.0675,0.3575,0.52,0.58,0.705,0.6599999999999999
11,VPA,-0.025,-0.085,0.5299999999999999,1.8199999999999998,2.7375,2.885,2.8674999999999997,2.7725,2.595,1.7875
12,DPA,0.0,0.0,0.0,0.0,-0.019999999999999997,0.2925,0.4,0.4,0.4275,0.5575
