,Unnamed: 0,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,P/L,-45.6675,-218.245,-4.34,-8.700000000000001,110.4025,5.2575,5.2725,6.922499999999999,6.5575,12.275
1,P/VPA,0.3175,1.025,0.56,0.5399999999999999,0.35500000000000004,0.35,0.595,0.86,1.0075,0.695
2,P/FCO,-104.4925,8.01,2.46,30.09,-26.305,0.34000000000000075,13.43,-568.05,79.8225,-8.625
3,DY,0.0,0.0,0.0,0.009375,0.04925,0.07100000000000001,0.04615,0.029949999999999997,0.031075,0.034875
4,PSRO ín,-10.785,1.4725000000000001,1.2375,1.4049999999999998,0.9849999999999999,0.9424999999999999,1.125,1.34,1.1325,2.18
5,EV/EBIT,-42.8025,121.27250000000001,-7.594999999999999,-14.81,-56.379999999999995,14.555,10.182500000000001,9.129999999999999,7.6975,16.8825
6,ROE,-0.0017749999999999999,-0.016225000000000003,-0.149025,-0.08957499999999999,0.017974999999999998,0.074825,0.1121,0.12492500000000001,0.15489999999999998,0.062775
7,ROIC,-0.001075,-0.0097,-0.09025,-0.06235,-0.0056500000000000005,0.026075,0.048525,0.07295,0.088875,0.03215
8,LC,0.62,2.34,2.96,3.1624999999999996,3.105,3.1925,3.2625,3.485,3.5675,2.08
9,DB/PL,0.185,0.5725,0.7775000000000001,0.77,0.7975,0.7725000000000001,0.7775,0.79,0.8200000000000001,0.645
10,LPA,-0.015,-0.135,-1.2725000000000002,-0.8525,0.19749999999999998,0.8225,1.185,1.2474999999999998,1.19,0.4425
11,VPA,2.1525,6.234999999999999,8.47,9.9425,10.8725,10.985000000000001,10.57,9.975,7.694999999999999,5.2475000000000005
12,DPA,0.0,0.0,0.0,0.01,0.085,0.23,0.2925,0.2775,0.2475,0.06
