,Unnamed: 0,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,P/L,2.36,6.5,5.9875,6.202500000000001,8.5375,6.115,9.844999999999999,16.305,9.6725,6.909999999999999
1,P/VPA,0.245,0.9,1.0425,0.9425,0.4825,0.495,0.75,0.9524999999999999,0.8800000000000001,0.5850000000000001
2,P/FCO,2.33,7.4399999999999995,5.8325,3.5475,4.3375,17.89,5.2875,31.0675,14.43,7.885
3,DY,0.0,0.0302,0.0636,0.08209999999999999,0.09795000000000001,0.07095,0.025575,0.017625000000000002,0.024625,0.032549999999999996
4,PSRO ín,0.405,1.5225,1.6125,1.3175,0.5700000000000001,0.9850000000000001,1.125,1.545,1.2575,1.2075
5,EV/EBIT,3.1425,7.5275,5.482499999999999,7.0875,27.18,4.9875,7.5525,14.955000000000002,8.9225,5.585
6,ROE,0.025825,0.13785,0.175075,0.15195,0.071175,0.091,0.076425,0.058925,0.093475,0.09592500000000001
7,ROIC,0.0139,0.10272500000000001,0.13820000000000002,0.09745,0.07935,0.08482500000000001,0.057249999999999995,0.044000000000000004,0.05294999999999999,0.06054999999999999
8,LC,0.41,3.125,3.6825,5.8625,5.265,4.43,6.942500000000001,7.21,7.3925,5.404999999999999
9,DB/PL,0.08,0.2425,0.21499999999999997,0.037500000000000006,0.02,0.015000000000000001,0.01,0.0075,0.0075,0.0125
10,LPA,0.495,2.8325,3.3375,2.575,1.1025,1.375,1.095,0.7975000000000001,1.2125,1.57
11,VPA,4.7825,20.5925,18.9925,16.855,15.505,15.055000000000001,14.364999999999998,13.5575,12.98,9.305
12,DPA,0.2575,1.1275000000000002,1.1350000000000002,0.5,0.5449999999999999,0.47750000000000004,0.2475,0.20750000000000002,0.2475,0.29
