,Unnamed: 0,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,P/L,-0.3525,-0.16749999999999998,-0.6675,-2.025,1.0975,-0.5025000000000001,20.765,-35.17,-57.7425,39.07
1,P/VPA,-0.2325,-0.1325,-0.06499999999999993,0.7525000000000001,0.4225,0.345,0.7975,1.1025,1.4975,1.24
2,P/FCO,1.18,-0.9200000000000002,-1.4325,1.5725,-0.31499999999999995,-0.20750000000000002,0.7075000000000002,1.005,3.4525,2.4625000000000004
3,DY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,PSRO ín,0.16,0.0625,0.0575,0.057499999999999996,0.0375,0.034999999999999996,0.0925,0.1225,0.1425,0.4225
5,EV/EBIT,1.06,-4.4075,-22.009999999999998,14.49,7.8275,9.337499999999999,5.0,5.8374999999999995,6.045,19.18
6,ROE,0.16335,0.6504749999999999,0.85595,-0.24017499999999997,-0.32785000000000003,-1.09715,0.0743,-0.05199999999999999,0.030250000000000003,0.055924999999999996
7,ROIC,-0.790225,-2.2825249999999997,-0.30592500000000006,0.11237499999999999,0.138625,0.160475,0.149925,0.1497,0.159075,0.08975
8,LC,0.3375,0.24,0.515,0.625,0.61,0.7250000000000001,0.855,0.9,0.9075000000000001,0.9225
9,DB/PL,-0.205,-0.8975,-0.34500000000000014,5.84,5.1475,6.43,2.7800000000000002,2.6975,2.3274999999999997,2.17
10,LPA,-0.5275,-9.17,-8.267500000000002,-0.6725,-1.3525,-5.182499999999999,0.6425,-0.4075,0.265,0.47
11,VPA,-0.805,-10.7425,-4.4625,3.915,4.5875,5.9375,8.580000000000002,7.9375,8.344999999999999,8.0775
12,DPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
