,Unnamed: 0,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,P/L,6.7475,23.8925,19.475,26.38,27.5825,29.107499999999998,37.6175,36.945,35.8975,23.115
1,P/VPA,1.16,4.425,3.8675,4.9075,2.87,1.6025,1.58,1.6775,2.235,2.79
2,P/FCO,2.495,10.674999999999999,10.7775,15.2325,9.805,8.4725,10.7225,16.2175,26.5225,19.9125
3,DY,0.002425,0.015925,0.0414,0.0902,0.039599999999999996,0.043725,0.059625,0.018575,0.008525,0.012499999999999999
4,PSRO ín,0.7725,3.0425,2.9175,3.7899999999999996,2.74,1.94,2.13,2.3899999999999997,3.09,2.9575000000000005
5,EV/EBIT,4.0375,15.692499999999999,14.107499999999998,19.4925,16.192500000000003,14.197500000000002,18.07,17.055,23.012500000000003,16.3275
6,ROE,0.0429,0.18600000000000003,0.19815,0.18589999999999998,0.104875,0.055925,0.043275,0.046675,0.062275,0.130625
7,ROIC,0.032850000000000004,0.14175,0.131975,0.13955,0.087525,0.058625000000000003,0.0458,0.04947499999999999,0.069575,0.09642500000000001
8,LC,0.485,1.6300000000000001,2.08,1.8075,2.8699999999999997,3.5225,3.955,4.85,2.6950000000000003,3.8
9,DB/PL,0.2375,0.7,0.72,0.54,0.5625,0.63,0.605,0.585,0.3425,0.16
10,LPA,0.2275,1.0325,1.09,1.205,1.1175,0.5825,0.4525,0.515,0.675,1.06
11,VPA,1.3225,5.56,5.51,6.5725,10.785,10.3925,10.535,11.032500000000002,10.835,8.5925
12,DPA,0.08,0.325,0.325,0.8425,0.3975,0.5925,0.3225,0.3025,0.0975,0.3625
