,Unnamed: 0,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,P/L,6.75,21.052500000000002,10.9,17.39,15.104999999999999,14.305,20.709999999999997,67.78750000000001,80.62,15.9325
1,P/VPA,0.355,1.2775,1.19,1.4500000000000002,1.3199999999999998,1.7000000000000002,2.225,5.762499999999999,7.1375,2.9725
2,P/FCO,1.8425,10.040000000000001,4.4525,3.61,-9.775,4.1325,7.2574999999999985,20.377499999999998,-11.745,8.870000000000001
3,DY,0.0,0.02375,0.053000000000000005,0.042499999999999996,0.027925000000000002,0.03165,0.0316,0.01225,0.01325,0.040825
4,PSRO ín,0.2675,0.9675,1.13,1.5450000000000002,1.205,1.2,1.61,3.615,4.654999999999999,1.6775
5,EV/EBIT,3.2225,13.287500000000001,7.2725,15.3475,7.7325,11.71,15.719999999999999,39.365,64.14999999999999,16.080000000000002
6,ROE,0.01295,0.061525,0.10930000000000001,0.08335,0.08665,0.11887500000000001,0.10695,0.08802499999999999,0.0851,0.18880000000000002
7,ROIC,0.01355,0.07075,0.09445000000000002,0.038,0.07765,0.07352500000000001,0.069875,0.07014999999999999,0.049,0.08067499999999998
8,LC,0.615,2.105,2.42,2.7125,3.0575,2.0225,2.6550000000000002,2.6525,1.7800000000000002,2.3225
9,DB/PL,0.1175,0.455,0.335,0.29500000000000004,0.4375,0.94,0.955,0.9850000000000001,1.0725,0.8375
10,LPA,0.05,0.2275,0.4225,0.3025,0.265,0.235,0.2025,0.15500000000000003,0.14250000000000002,0.29750000000000004
11,VPA,0.9525,3.6975,3.8674999999999997,3.6225,3.16,1.9775,1.8825,1.775,1.665,1.5775000000000001
12,DPA,0.0275,0.15,0.23249999999999998,0.17,0.065,0.0625,0.065,0.05,0.0625,0.10250000000000001
