,Unnamed: 0,2020,2019,2018,2017,2016,2015
0,P/L,121.25,7.035,-0.39499999999999996,-1.9224999999999999,-2.025,-0.3525
1,P/VPA,-0.215,-0.73,-0.135,-0.4525,-7.03,5.3825
2,P/FCO,38.41,-32.84,0.8699999999999999,1.155,-2.875,-0.8825
3,DY,0.0,0.0,0.0,0.0,0.0,0.0
4,PSRO ín,16.9075,16.9,0.3575,1.1975,1.2925,0.3125
5,EV/EBIT,24.625,22.875,-0.905,-5.300000000000001,-8.987499999999999,-7.262499999999999
6,ROE,-0.00025,-0.07120000000000001,0.2597,34.36650000000001,3.924875,-5.0443
7,ROIC,-0.083225,-0.297625,0.47777499999999995,-244.575975,-0.327275,-0.2111
8,LC,0.0175,0.037500000000000006,0.0925,0.6775000000000001,0.6375,0.5125
9,DB/PL,-0.2375,-0.6074999999999999,-0.185,-1.3025,-8.837499999999999,9.26
10,LPA,0.0025,0.41000000000000003,-1.4175,-1.175,-1.8924999999999998,-1.9024999999999999
11,VPA,-1.415,-4.31,-4.095,-3.1275,-0.9175000000000001,0.9824999999999999
12,DPA,0.0,0.0,0.0,0.0,0.0,0.255
