,Unnamed: 0,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,P/L,5.8975,12.992500000000001,-42.3025,-21.9875,-2.92,2.5399999999999996,10.6375,18.197499999999998,14.755,8.6325
1,P/VPA,0.1925,0.7975,0.8125000000000001,0.7775,0.375,0.26749999999999996,0.535,0.76,0.9175,0.96
2,P/FCO,1.78,9.8725,9.66,9.6875,2.2849999999999997,2.2925,5.315,5.67,8.625,6.952500000000001
3,DY,0.005124999999999999,0.019624999999999997,0.01825,0.004549999999999999,0.01735,0.04605,0.02965,0.015700000000000002,0.022500000000000003,0.027775
4,PSRO ín,0.2525,0.8150000000000001,0.835,0.9525,0.71,0.74,0.7975000000000001,0.9525,1.01,0.7975
5,EV/EBIT,3.445,9.3775,21.485,-32.2825,-11.622499999999999,13.360000000000001,10.49,15.515,14.567499999999999,7.6375
6,ROE,0.008275,0.06515,0.018500000000000003,-0.065675,-0.14170000000000002,-0.025175000000000003,0.05015,0.041800000000000004,0.063975,0.115425
7,ROIC,0.011899999999999999,0.08095,0.054150000000000004,-0.01005,-0.052,0.03162499999999999,0.05927500000000001,0.0531,0.05865000000000001,0.10617499999999999
8,LC,0.5075,2.1675,2.3075,2.09,2.6175,2.805,2.7,2.3825,2.25,2.6
9,DB/PL,0.17,0.5675,0.6625,0.755,0.7825000000000001,0.72,0.5525,0.515,0.5125,0.5549999999999999
10,LPA,0.14,1.0175,0.28750000000000003,-0.955,-2.285,-0.4425,0.9475,0.7449999999999999,1.045,1.6375
11,VPA,4.2625,15.655000000000001,14.9,14.4,16.015,20.335,18.872500000000002,17.7525,16.4075,14.252500000000001
12,DPA,0.0075,-0.065,0.16,0.0,-0.03,-0.07500000000000001,0.0825,-0.02,0.03,0.0
