,Unnamed: 0,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,P/L,4.73,10.895000000000001,-9.132499999999999,-12.1575,-1.7225000000000001,79.31,33.1125,45.072500000000005,35.207499999999996,16.947499999999998
1,P/VPA,0.055,0.23500000000000001,0.2575,0.22249999999999998,0.115,0.15,0.44,0.64,0.8025,0.825
2,P/FCO,0.5175,2.935,2.885,2.9775,0.6975,1.4525,4.14,4.59,7.0875,5.455
3,DY,0.00555,0.0202,0.0144,0.0008749999999999999,0.006574999999999999,0.042749999999999996,0.02675,0.014249999999999999,0.0218,0.029175
4,PSRO ín,0.1475,0.45999999999999996,0.5025000000000001,0.5874999999999999,0.5574999999999999,0.6625,0.7325,0.8525,0.8875000000000001,0.715
5,EV/EBIT,1.94,5.1125,13.165,-19.612499999999997,-8.6325,14.392499999999998,9.73,14.16,13.27,6.8425
6,ROE,0.0029749999999999998,0.022650000000000003,0.004625,-0.031975,-0.07435,-0.025974999999999998,0.015024999999999998,0.014275,0.023700000000000002,0.050825
7,ROIC,0.011850000000000001,0.08017500000000001,0.0535,-0.010225,-0.053750000000000006,0.027925,0.05905,0.05365,0.060375,0.1084
8,LC,0.51,2.1425,2.21,2.0875,2.5025,2.5175,2.45,2.295,2.0225,2.5975
9,DB/PL,0.17,0.575,0.705,0.8049999999999999,0.8724999999999999,0.8200000000000001,0.6325,0.6,0.605,0.6575
10,LPA,0.095,0.6625,0.1375,-0.8525000000000001,-2.14,-0.8925,0.495,0.445,0.6775,1.2425
11,VPA,8.0275,29.35,27.4025,26.475,28.53,36.0025,33.355,31.205,28.66,24.6825
12,DPA,0.015,-0.085,0.24250000000000002,0.01,-0.035,-0.1375,0.155,-0.05,0.05,0.0
