,Unnamed: 0,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,P/L,15.455,6.9375,3.3175,1.8199999999999998,-1.59,-0.07500000000000001,-0.0625,-0.0225,-0.0275,-0.14500000000000002
1,P/VPA,0.2325,0.5800000000000001,0.38250000000000006,1.3325000000000002,1.31,0.1525,0.07250000000000001,0.0275,0.01,0.01
2,P/FCO,2.07,-31.075000000000003,25.2525,9.0425,2.39,0.065,0.1975,0.045,0.245,-0.1325
3,DY,0.002275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,PSRO ín,1.31,0.225,0.2575,0.41500000000000004,0.285,0.0925,0.19999999999999998,0.19999999999999998,0.1675,0.17250000000000001
5,EV/EBIT,4.3075,4.5525,2.34,2.41,10.195,20.655,5.82,-4.745,-25.61,-7.3125
6,ROE,0.003775,0.068525,0.39445,0.69905,1.58615,-0.5100999999999999,-1.42475,-0.9303250000000001,-0.355075,-0.12714999999999999
7,ROIC,0.00805,0.09185,0.387525,0.455175,0.21905000000000002,0.0736,0.33975,0.010725000000000012,0.022199999999999998,0.055675
8,LC,0.2975,0.9275,1.33,1.5175,0.8675,0.7925,0.8875,0.5175000000000001,0.6900000000000001,0.6124999999999999
9,DB/PL,0.24,0.695,0.8575,2.115,-1.4100000000000006,13.215,6.987500000000001,2.705,1.5875,1.2
10,LPA,0.1375,2.29,12.442499999999999,8.91,-1.35,-4.5625,-8.790000000000001,-12.845,-11.0625,-5.455
11,VPA,9.105,24.884999999999998,31.6425,14.745000000000001,-4.215,-1.42,5.8975,16.7875,31.017500000000002,27.1925
12,DPA,0.0,0.21749999999999997,0.0725,0.0,0.0,0.0,0.0,0.165,-0.165,0.0
