,Unnamed: 0,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,P/L,-3.32,0.685,0.05250000000000021,-7.045,0.23499999999999993,-0.5950000000000001,-18.197499999999998,-8.165000000000001,-12.4225,29.564999999999994
1,P/VPA,-3.065,2.335,0.2875,0.4075,0.29000000000000004,0.35250000000000004,3.3499999999999996,4.2225,3.0124999999999997,2.4275
2,P/FCO,15.5425,1.6325,-22.7225,4.3225,-1.4024999999999999,7.704999999999999,-4.3225,7.834999999999999,8.52,10.705
3,DY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,PSRO ín,-61.275,-45.2225,5.2975,6.2875000000000005,5.612500000000001,7.147500000000001,7.095,8.377500000000001,10.095,7.735000000000001
5,EV/EBIT,-80.635,23.7825,2.2925,6.4825,19.505000000000003,16.015,10.2575,10.16,13.695,10.85
6,ROE,0.23095,7.941800000000001,0.03175,0.06747500000000001,-0.03109999999999999,-0.721875,-0.33990000000000004,-0.550075,-0.325075,-0.063725
7,ROIC,-0.008475,0.0316,0.133275,0.112675,0.02725,-0.0030749999999999996,0.10052500000000002,0.096325,0.069475,0.113675
8,LC,0.395,1.1075,2.7325000000000004,1.6625,0.7325,1.1775,1.63,1.0625,2.5775,2.105
9,DB/PL,-1.3625,61.3925,1.05,1.2225000000000001,1.3975,1.895,6.5425,6.375,3.1774999999999998,1.165
10,LPA,-0.93,1.835,0.52,1.0475,-0.22999999999999987,-7.8149999999999995,-1.3450000000000002,-1.22,-1.1124999999999998,-0.2825
11,VPA,-1.0075,-0.0925,9.7775,13.282499999999999,12.18,11.794999999999998,5.6375,2.385,3.6025,4.71
12,DPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
