,Unnamed: 0,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,P/L,4.375,5.6775,12.5575,17.075,14.605,8.725,12.375,16.407500000000002,18.1475,11.9175
1,P/VPA,0.435,1.01,1.8800000000000003,2.205,1.1025,1.13,1.9974999999999998,2.28,2.6425,2.465
2,P/FCO,2.3525,7.0575,47.51,18.6275,8.122499999999999,-23.472499999999997,17.41,16.165,31.8675,35.9675
3,DY,0.002275,0.012575,0.018775,0.00975,0.03075,0.041225,0.0305,0.016200000000000003,0.011275,0.011675000000000001
4,PSRO ín,0.345,0.9550000000000001,1.31,1.4749999999999999,0.7425,0.8225,1.4775,1.7275,2.025,1.5625
5,EV/EBIT,3.6825,6.0024999999999995,9.6825,12.5175,13.2975,8.21,9.945,12.375,13.825000000000001,9.4225
6,ROE,0.024874999999999998,0.2072,0.1596,0.12817499999999998,0.077025,0.127925,0.16092499999999998,0.1392,0.14594999999999997,0.21292500000000003
7,ROIC,0.019525,0.10285,0.109325,0.11815,0.0771,0.10400000000000001,0.13575,0.12240000000000001,0.1241,0.17857499999999998
8,LC,0.4225,1.885,1.7625,1.8125,1.4825000000000002,1.65,2.34,2.5549999999999997,2.6174999999999997,2.56
9,DB/PL,0.14,0.5325,0.4225,0.37500000000000006,0.46249999999999997,0.43,0.2625,0.22749999999999998,0.2375,0.215
10,LPA,0.2575,10.469999999999999,11.2775,7.795,4.23,6.6925,7.74,6.020000000000001,5.6225,7.262499999999999
11,VPA,2.5975,44.7975,68.695,60.67,54.754999999999995,52.442499999999995,48.1525,43.1725,38.545,34.1525
12,DPA,0.135,2.465,2.6075,1.2149999999999999,1.915,2.4050000000000002,2.7575000000000003,1.38,1.2175,1.1675
