,Unnamed: 0,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,P/L,3.37,19.23,15.517499999999998,14.77,10.567499999999999,8.01,12.302499999999998,16.7775,22.04,16.39
1,P/VPA,0.415,3.34,2.8600000000000003,2.8225000000000002,2.0949999999999998,2.075,3.785,6.154999999999999,8.9525,8.352500000000001
2,P/FCO,2.4775,14.815000000000001,11.6625,14.6425,8.7525,9.094999999999999,15.389999999999999,20.55,21.225,20.085
3,DY,0.01095,0.019975,0.0624,0.06225,0.0592,0.06332499999999999,0.040875,0.0453,0.02395,0.024475
4,PSRO ín,0.4075,2.9625,2.3875,2.265,1.65,1.455,2.27,3.285,4.845,3.4425
5,EV/EBIT,3.9075,22.7425,17.71,18.494999999999997,12.725000000000001,8.44,9.695,12.91,17.8075,13.145000000000001
6,ROE,0.0308,0.17177499999999998,0.18745,0.190875,0.20184999999999997,0.25977500000000003,0.306775,0.367075,0.407325,0.519575
7,ROIC,0.022324999999999998,0.139075,0.145875,0.13399999999999998,0.16352499999999998,0.223025,0.26985,0.326775,0.345575,0.450175
8,LC,0.725,3.3025,3.4,3.7275000000000005,3.915,3.6075,3.2100000000000004,2.905,2.9825,2.695
9,DB/PL,0.0325,0.05,0.015,0.02,0.005,0.005,0.02,0.0225,0.035,0.07
10,LPA,0.2675,1.47,1.4875,1.45,1.51,1.8050000000000002,1.9249999999999998,1.9525,1.9649999999999999,2.0225
11,VPA,2.1775,8.5775,7.949999999999999,7.595000000000001,7.475,6.9625,6.2875,5.329999999999999,4.8275,3.9074999999999998
12,DPA,0.09,0.8400000000000001,1.065,1.025,0.8525,0.8999999999999999,0.88,1.4250000000000003,1.1675,0.7474999999999999
