,Unnamed: 0,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,P/L,5.03,17.4325,15.2175,47.97749999999999,11.55,29.8625,32.980000000000004,36.08,-153.10500000000002,7.960000000000001
1,P/VPA,0.6175,2.415,2.1625,2.5725000000000002,1.855,1.6175,1.5075,1.4875,1.3175,0.7575000000000001
2,P/FCO,6.7725,23.6675,17.134999999999998,22.5775,23.999999999999996,31.825000000000003,16.2375,15.707500000000003,11.5075,66.7575
3,DY,0.0066500000000000005,0.022025000000000003,0.015449999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,PSRO ín,1.5525,6.575,4.842499999999999,5.95,7.882499999999999,3.8949999999999996,3.2399999999999998,3.3499999999999996,3.0575,3.0775
5,EV/EBIT,5.7675,16.9425,14.015,17.1675,16.5075,17.415,14.6875,15.1425,16.5125,15.7125
6,ROE,0.030750000000000003,0.138625,0.142025,0.06385,0.16294999999999998,0.05474999999999999,0.046975,0.041550000000000004,0.009250000000000001,0.014300000000000004
7,ROIC,0.024900000000000002,0.129,0.135625,0.102675,0.08407500000000001,0.06675,0.07467499999999999,0.068325,0.055549999999999995,0.037974999999999995
8,LC,0.75,3.1275,3.2350000000000003,2.8949999999999996,3.515,2.0425,2.12,2.0325,2.7025,2.0949999999999998
9,DB/PL,0.0575,0.0875,0.06,0.085,0.1725,0.6575,0.605,0.5974999999999999,0.6275000000000001,0.51
10,LPA,0.4275,1.88,1.82,0.8,2.32,0.675,0.5475,0.46249999999999997,0.10250000000000001,0.25499999999999995
11,VPA,3.475,13.58,12.817499999999999,12.7125,14.2175,12.27,11.5925,11.075,10.662500000000001,7.9175
12,DPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
