,Unnamed: 0,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,P/L,2.6675,10.900000000000002,10.15,9.8125,6.825,7.2875000000000005,10.0025,19.107499999999998,20.82,16.2075
1,P/VPA,0.4275,1.915,1.6525,1.5099999999999998,1.175,1.3824999999999998,1.7675,2.7525000000000004,3.0024999999999995,3.1700000000000004
2,P/FCO,31.91,338.9575,-35.1275,82.0875,98.315,83.5,72.4325,61.69,5.9350000000000005,-21.3225
3,DY,0.010025,0.029650000000000003,0.08665,0.05805,0.058575,0.051525,0.035324999999999995,0.027175,0.026125000000000002,0.027325000000000002
4,PSRO ín,4.8,21.919999999999998,17.9125,17.555,12.905,13.03,14.107499999999998,17.3375,18.432499999999997,14.567499999999999
5,EV/EBIT,2.385,10.66,9.842500000000001,9.719999999999999,6.905,7.1225000000000005,9.33,10.9775,1.0575,1.8749999999999998
6,ROE,0.040175,0.176,0.163525,0.15444999999999998,0.173175,0.190425,0.177875,0.14405,0.14445,0.20417500000000002
7,ROIC,0.0408,0.16805,0.15995,0.14732499999999998,0.16512500000000002,0.183225,0.176325,-0.05234999999999999,-0.42807500000000004,-0.66595
8,LC,0.645,2.2025,2.58,2.055,1.845,2.045,1.9075,1.73,1.26,1.1325
9,DB/PL,0.02,0.07500000000000001,0.08,0.0825,0.0675,0.0675,0.07500000000000001,0.0825,0.0,0.0
10,LPA,0.2625,1.1625,1.1724999999999999,1.1125,1.1600000000000001,1.1675,0.945,0.6725,0.6375,0.8475
11,VPA,1.635,6.605,7.175,7.2075,6.699999999999999,6.1375,5.305,4.6375,4.415,4.164999999999999
12,DPA,0.2075,1.075,1.045,0.6825,0.4475,0.38249999999999995,0.3275,0.21000000000000002,0.17500000000000002,0.23249999999999998
