,Unnamed: 0,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,P/L,-16.0525,38.47,373.8325,6.3725000000000005,26.68,10.729999999999999,23.205,23.794999999999998,-17.125,-97.6575
1,P/VPA,0.465,2.29,1.155,0.4625,1.2725,1.455,1.045,0.9375,0.875,0.7224999999999999
2,P/FCO,1.1025,6.8825,5.04,2.18,14.067499999999999,4.0125,7.0725,9.3675,21.492500000000003,0.009999999999999787
3,DY,2.5e-05,0.0007499999999999999,0.004375,0.012975,0.031625,0.0099,0.008300000000000002,0.005925,0.0,0.0010249999999999999
4,PSRO ín,0.155,0.6325000000000001,0.4475,0.24,0.4075,0.5700000000000001,0.45999999999999996,0.46499999999999997,0.49,0.3775
5,EV/EBIT,2.12,12.67,9.6875,6.8025,11.3575,8.8025,8.215,11.83,15.4975,11.11
6,ROE,-0.007125,0.11304999999999998,-0.003075,0.047975000000000004,0.023274999999999997,0.1406,0.0509,0.039924999999999995,0.017925,-0.0115
7,ROIC,0.030175,0.12042499999999999,0.11057499999999999,0.028625,0.07930000000000001,0.07947499999999999,0.08325,0.055999999999999994,0.045425,0.06355
8,LC,0.435,1.5274999999999999,1.6925,0.5825,1.0775000000000001,1.4625000000000001,1.6025,1.6099999999999999,1.7875,1.77
9,DB/PL,0.5625,1.69,2.115,1.1225,2.36,1.9250000000000003,1.4975,1.2,0.9375,0.8875000000000001
10,LPA,-0.085,1.275,-0.0325,0.435,0.19749999999999998,1.465,0.4425,0.315,0.135,-0.08499999999999999
11,VPA,2.94,11.07,9.8375,4.6125,8.682500000000001,10.2925,8.5075,7.9125,7.495,7.305
12,DPA,0.125,0.125,-0.03,0.015,0.0075,0.0,0.0,0.0,0.0,0.0
