,Unnamed: 0,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,P/L,2.755,11.267499999999998,-19.5675,-3.2800000000000002,8.685,26.7,12.212499999999999,23.2525,18.8925,8.780000000000001
1,P/VPA,0.305,0.9775,0.39,0.37999999999999995,0.30000000000000004,0.34500000000000003,0.805,2.27,2.94,2.14
2,P/FCO,6.0775,-9.639999999999999,-4.3525,-15.274999999999999,4.17,4.325,11.512500000000001,132.24,530.5425,18.049999999999997
3,DY,0.005475,0.006999999999999999,0.0,0.0,0.0,0.0108,0.024175,0.025675,0.036925,0.060825000000000004
4,PSRO ín,1.7375,5.7475,4.93,4.59,4.4,4.3075,6.03,6.1825,5.515000000000001,2.9699999999999998
5,EV/EBIT,1.8275,7.0175,10.854999999999999,-10.3025,0.7974999999999999,9.885,8.5025,19.245,16.939999999999998,8.5825
6,ROE,0.02785,0.09065,0.032299999999999995,-0.08752499999999999,-0.007875,0.018675,0.10822499999999999,0.1085,0.16035,0.259175
7,ROIC,0.027549999999999998,0.10652500000000001,0.054425,-0.028374999999999997,0.049375,0.050600000000000006,0.076475,0.06505,0.0888,0.14832499999999998
8,LC,0.5225,1.1600000000000001,0.865,1.05,1.455,1.3675,2.5524999999999998,2.5549999999999997,3.485,2.63
9,DB/PL,0.095,0.4425,0.6125,0.4375,0.6975,0.96,1.0,1.335,1.1724999999999999,0.85
10,LPA,0.16,0.43499999999999994,0.14,-0.365,-0.01999999999999999,0.0925,0.45999999999999996,0.33499999999999996,0.38,0.5575
11,VPA,1.445,4.7475000000000005,4.1825,3.1224999999999996,4.695,4.82,4.28,2.9425,2.39,2.155
12,DPA,0.0,0.09,0.03,0.0,0.0,0.0,0.04,0.12249999999999998,0.11250000000000002,0.23500000000000001
