,Unnamed: 0,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,P/L,4.4575,44.265,8.6475,12.68,5.432499999999999,7.734999999999999,9.06,8.192499999999999,7.385000000000001,12.837499999999999
1,P/VPA,0.09,0.4175,0.33,0.295,0.3175,0.21999999999999997,0.32749999999999996,0.38249999999999995,0.4325,0.345
2,P/FCO,-0.7275,-3.3475,2.31,4.2,-9.8675,-2.9349999999999996,-4.734999999999999,17.0925,-16.5425,-7.4675
3,DY,0.005375,0.012225,0.0308,0.033625,0.035375,0.043375000000000004,0.13812500000000003,0.14647500000000002,0.023024999999999997,0.013374999999999998
4,PSRO ín,0.13,0.6725,0.5975,0.45499999999999996,0.4125,0.47,0.43999999999999995,0.505,0.42250000000000004,0.3775
5,EV/EBIT,3.285,60.317499999999995,8.465,6.4575,5.84,7.3325,7.9475,6.7575,5.65,7.185
6,ROE,0.005024999999999999,0.018975000000000002,0.03955,0.021875,0.063,0.032424999999999995,0.036199999999999996,0.047575,0.0612,0.031200000000000002
7,ROIC,0.0084,0.028675,0.040674999999999996,0.033424999999999996,0.06285,0.049049999999999996,0.046200000000000005,0.043425,0.059250000000000004,0.036875
8,LC,0.445,2.1375,1.98,1.4775,1.5575,1.9275,1.7149999999999999,1.9625000000000001,1.875,1.32
9,DB/PL,0.335,1.3900000000000001,1.2750000000000001,0.955,1.18,1.1775,1.2875,1.145,0.84,0.5549999999999999
10,LPA,0.3225,1.1925,2.46,1.3,3.6925000000000003,1.79,1.7349999999999999,2.2,2.8249999999999997,1.65
11,VPA,15.9775,63.089999999999996,62.08250000000001,44.692499999999995,58.3925,54.985,47.947500000000005,46.082499999999996,46.019999999999996,32.7075
12,DPA,0.0725,0.0725,0.52,0.6224999999999999,0.6950000000000001,0.5750000000000001,0.5275000000000001,0.805,0.5499999999999999,0.5775
